episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
1,0.076000,1.600000,2,0.038000,0.055000,0.000000,0.000739,-0.036433,-0.003574,0.000000,-1.795515,-1.834783
2,0.224000,1.980000,3,0.072000,0.120000,0.000000,0.000390,-0.059581,-0.002903,0.000000,-1.548016,-1.610111
3,0.072000,1.660000,2,0.038000,0.055000,0.000000,0.000129,-0.042468,-0.003014,0.000000,-1.446655,-1.492009
4,0.300000,2.800000,4,0.094000,0.150000,0.000000,0.000353,-0.024997,-0.003524,0.000000,-1.576459,-1.604627
5,0.260000,2.880000,4,0.088000,0.135000,0.000000,0.004058,-0.066218,-0.003226,0.000000,-1.634672,-1.700058
6,0.468000,2.290000,4,0.108000,0.190000,0.000000,0.001191,-0.010627,-0.003462,0.000000,-2.153158,-2.166056
7,0.182000,2.320000,3,0.066000,0.105000,0.000000,0.001591,-0.049957,-0.007754,0.000000,-1.174226,-1.230346
8,0.356000,1.432000,4,0.088000,0.155000,0.000000,0.000213,-0.059107,-0.012271,-0.015394,-0.490705,-0.577264
9,0.092000,0.820000,2,0.036000,0.050000,-0.000000,0.000488,-0.020184,-0.019213,0.000000,-0.591651,-0.630561
10,0.538000,2.300000,3,0.110000,0.190000,0.000000,0.000123,-0.053791,-0.020084,0.000000,-1.149798,-1.223550
11,0.394000,1.462000,3,0.088000,0.155000,-0.000000,0.000681,-0.047912,-0.016542,0.000000,-0.886932,-0.950706
12,0.274000,1.452000,4,0.094000,0.150000,-0.000000,0.000200,-0.108322,-0.020288,0.000000,-0.655180,-0.783590
13,0.646000,2.066000,3,0.116000,0.190000,0.000000,0.000894,-0.031355,-0.021673,0.000000,-0.625953,-0.678086
14,0.588000,1.416000,3,0.096000,0.190000,0.000000,0.000525,-0.039912,-0.018001,-0.005057,-0.899823,-0.962267
15,0.606000,1.984000,4,0.128000,0.200000,0.000000,0.000233,-0.109476,-0.018739,0.000000,-0.874123,-1.002105
16,0.512000,1.880000,6,0.130000,0.210000,-0.000000,0.000572,-0.065170,-0.022585,0.000000,-0.333127,-0.420310
17,0.318000,2.320000,4,0.086000,0.155000,0.000000,0.001383,-0.024438,-0.029104,0.000000,-0.312399,-0.364558
18,0.574000,2.512000,4,0.126000,0.230000,0.000000,0.000585,-0.158445,-0.029022,0.000000,-0.308225,-0.495107
19,0.226000,2.370000,4,0.080000,0.170000,0.000000,0.000398,-0.051898,-0.027552,0.000000,-0.378610,-0.457663
20,0.266000,2.690000,4,0.088000,0.140000,0.000000,0.000735,-0.125665,-0.026869,0.000000,-0.359686,-0.511485
21,0.148000,2.400000,3,0.062000,0.095000,0.000000,0.000290,-0.068535,-0.027846,0.000000,-1.086222,-1.182312
22,0.528000,2.158000,3,0.116000,0.205000,0.000000,0.000088,-0.070450,-0.027294,0.000000,-1.069324,-1.166979
23,0.488000,2.330000,3,0.094000,0.145000,-0.000000,0.000264,-0.025801,-0.028940,0.000000,-0.469748,-0.524225
24,0.374000,3.120000,4,0.104000,0.130000,0.000000,0.000223,-0.024935,-0.025498,0.000000,-0.609343,-0.659553
25,0.332000,2.320000,3,0.084000,0.150000,-0.000000,0.000712,-0.048103,-0.026844,0.000000,-0.328917,-0.403152
26,0.426000,2.596000,4,0.116000,0.200000,-0.000000,0.001180,-0.104549,-0.024219,0.000000,-0.470579,-0.598168
27,0.660000,2.712000,5,0.150000,0.270000,-0.000000,0.000154,-0.068722,-0.029774,0.000000,-0.320873,-0.419216
28,0.218000,3.030000,4,0.086000,0.120000,-0.000000,0.000680,-0.034866,-0.029095,0.000000,-0.350445,-0.413726
29,0.218000,2.270000,4,0.078000,0.115000,0.000000,0.000405,-0.042625,-0.027383,0.000000,-0.512392,-0.581995
30,0.132000,2.250000,3,0.060000,0.080000,-0.000000,0.000862,-0.025703,-0.027793,0.000000,-0.424873,-0.477508
31,0.386000,1.390000,4,0.104000,0.180000,0.000000,0.000097,-0.078542,-0.031215,0.000000,-0.232404,-0.342065
32,0.248000,1.470000,3,0.068000,0.110000,-0.000000,0.001180,-0.030932,-0.031487,0.000000,-0.190786,-0.252025
33,0.564000,1.308000,2,0.100000,0.195000,-0.000000,0.000564,-0.038605,-0.032458,0.000000,-0.188973,-0.259472
34,0.430000,1.400000,3,0.092000,0.170000,0.000000,0.000581,-0.025083,-0.034359,0.000000,-0.172135,-0.230995
35,0.146000,1.620000,2,0.048000,0.080000,-0.000000,0.000199,-0.056875,-0.032156,0.000000,-0.215501,-0.304334
36,1.082000,1.310000,2,0.096000,0.200000,0.000000,0.000696,-0.030380,-0.031546,0.000000,-0.243563,-0.304792
37,1.502000,1.462000,4,0.184000,0.450000,0.000000,0.000609,-0.155539,-0.035139,0.000000,-0.055045,-0.245115
38,0.434000,1.320000,3,0.088000,0.160000,0.000000,0.001045,-0.061796,-0.033810,0.000000,-0.131612,-0.226173
39,0.980000,1.350000,2,0.094000,0.195000,0.000000,0.000452,-0.014140,-0.032523,0.000000,-0.112736,-0.158947
40,0.960000,1.380000,2,0.092000,0.190000,0.000000,0.001344,-0.002219,-0.031354,0.000000,-0.411765,-0.443993
41,0.134000,2.320000,3,0.060000,0.090000,-0.000000,0.000488,-0.044174,-0.023658,0.000000,-0.752181,-0.819525
42,0.394000,2.192000,4,0.108000,0.185000,0.000000,0.000158,-0.077475,-0.024242,0.000000,-0.664132,-0.765690
43,0.398000,1.354000,4,0.110000,0.190000,-0.019638,0.000303,-0.186253,-0.017947,0.000000,-0.990882,-1.214417
44,0.570000,1.420000,4,0.114000,0.225000,0.000000,0.000981,-0.115062,-0.022181,0.000000,-0.430107,-0.566369
45,0.264000,2.180000,3,0.076000,0.130000,0.000000,0.000236,-0.098201,-0.020811,0.000000,-1.025632,-1.144407
46,0.524000,1.432000,2,0.088000,0.175000,0.000000,0.000408,-0.058761,-0.018440,0.000000,-1.330857,-1.407650
47,1.036000,1.820000,5,0.148000,0.290000,0.000000,0.000893,-0.107179,-0.024805,0.000000,-1.134085,-1.265177
48,0.502000,1.960000,4,0.114000,0.205000,-0.000000,0.000363,-0.102833,-0.026694,0.000000,-0.437698,-0.566863
49,0.184000,2.180000,3,0.068000,0.110000,-0.000000,0.000243,-0.075065,-0.023417,0.000000,-1.240684,-1.338924
