episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
1,0.076000,1.220000,2,0.038000,0.055000,-0.069188,0.001274,-0.020699,-0.002668,0.000000,-2.583601,-2.674882
2,0.058000,1.670000,2,0.032000,0.040000,0.000000,0.000688,-0.037796,-0.002610,0.000000,-3.019396,-3.059115
3,0.212000,2.250000,4,0.086000,0.135000,-0.006177,0.001820,0.016861,-0.002610,0.000000,-3.055611,-3.045717
4,0.204000,1.970000,3,0.064000,0.100000,0.000000,0.001874,-0.001982,-0.002188,0.000000,-3.513272,-3.515569
5,0.252000,2.640000,4,0.086000,0.135000,-0.000000,0.000843,-0.061205,-0.002738,0.000000,-2.857141,-2.920241
6,0.060000,1.550000,2,0.036000,0.050000,0.000000,0.001267,-0.020092,-0.003230,0.000000,-1.898732,-1.920787
7,0.236000,3.000000,4,0.088000,0.110000,-0.000000,0.001132,0.006773,-0.010130,0.000000,-0.756774,-0.758999
8,0.626000,1.002000,4,0.128000,0.235000,0.000000,0.002051,-0.039831,-0.020834,0.000000,-0.348385,-0.407000
9,0.466000,1.374000,2,0.098000,0.185000,0.000000,0.000223,-0.023567,-0.026762,0.000000,-0.281900,-0.332005
10,0.188000,1.400000,3,0.068000,0.110000,0.000000,0.001160,-0.050791,-0.029667,0.000000,-0.165851,-0.245149
11,0.042000,0.890000,1,0.020000,0.030000,0.000000,0.000380,-0.015727,-0.020636,0.000000,-0.751303,-0.787286
12,0.006000,0.920000,1,0.012000,0.010000,-0.000000,0.000693,-0.015460,-0.015303,0.000000,-0.681584,-0.711655
13,0.508000,1.828000,4,0.120000,0.265000,-0.000000,0.000871,-0.226224,-0.020279,0.000000,-0.452034,-0.697665
14,0.004000,0.930000,2,0.012000,0.010000,-0.041469,0.001543,-0.015662,-0.017242,0.000000,-0.738623,-0.811453
15,0.032000,0.900000,2,0.020000,0.030000,0.000000,0.002325,-0.024627,-0.017697,0.000000,-0.692753,-0.732752
16,0.032000,0.980000,2,0.028000,0.030000,-0.000000,0.001510,-0.033122,-0.017839,0.000000,-0.767135,-0.816587
17,0.036000,0.910000,2,0.022000,0.040000,-0.023480,0.002305,-0.015706,-0.019620,0.000000,-0.738671,-0.795173
18,0.176000,1.080000,2,0.048000,0.080000,-0.041838,0.001973,-0.087500,-0.019080,0.000000,-0.660314,-0.806759
19,0.394000,1.714000,4,0.102000,0.170000,-0.000000,0.001215,-0.198774,-0.018799,0.000000,-0.702227,-0.918585
20,0.024000,0.922000,2,0.028000,0.045000,0.000000,0.001273,-0.024475,-0.015383,0.000000,-1.020067,-1.058652
21,0.000000,0.000000,0,0.000000,0.000000,-0.000000,0.001948,0.000000,-0.017278,0.000000,-0.673635,-0.688965
22,1.394000,0.712000,3,0.174000,0.370000,0.000000,0.001009,-0.305161,-0.016861,0.000000,-1.370247,-1.691259
23,0.548000,1.546000,4,0.100000,0.180000,0.000000,0.001508,-0.142443,-0.016921,0.000000,-0.747211,-0.905067
24,0.392000,1.014000,3,0.074000,0.135000,0.000000,0.001441,-0.029012,-0.017152,0.000000,-0.874526,-0.919249
25,0.302000,1.072000,2,0.066000,0.120000,0.000000,0.001343,-0.062404,-0.018274,0.000000,-0.934012,-1.013348
