episode,avg_reward,noise_std
1,-0.631957,0.298800
2,2.501286,0.297605
3,3.098268,0.296414
4,7.190813,0.295229
5,13.873227,0.294048
6,15.797920,0.292872
7,-0.378988,0.291700
8,0.543714,0.290533
9,1.888548,0.289371
10,11.644375,0.288214
11,1.948909,0.287061
12,7.050590,0.285913
13,15.285395,0.284769
14,8.660510,0.283630
15,11.281784,0.282495
16,21.941960,0.281365
17,5.148074,0.280240
18,7.850946,0.279119
19,0.503920,0.278002
20,14.439380,0.276890
21,7.373561,0.275783
22,2.083195,0.274680
23,2.001230,0.273581
24,9.247177,0.272487
25,1.826269,0.271397
26,12.013612,0.270311
27,9.380678,0.269230
28,3.310516,0.268153
29,14.521810,0.267080
30,4.596901,0.266012
31,8.690131,0.264948
32,-1.771709,0.263888
33,8.853857,0.262833
34,0.790603,0.261781
35,-2.785865,0.260734
36,2.272648,0.259691
37,3.798751,0.258653
38,-1.287631,0.257618
39,0.152150,0.256587
40,0.190762,0.255561
41,0.179711,0.254539
42,0.918685,0.253521
43,3.550840,0.252507
44,-0.235451,0.251497
45,0.507632,0.250491
46,2.819704,0.249489
47,2.455469,0.248491
48,12.560901,0.247497
49,1.944155,0.246507
50,13.508522,0.245521
51,0.623941,0.244539
52,7.667888,0.243560
53,3.773804,0.242586
54,5.796465,0.241616
55,10.072669,0.240649
56,-2.324391,0.239687
57,13.629376,0.238728
58,2.533015,0.237773
59,2.321630,0.236822
60,0.435190,0.235875
61,3.155126,0.234931
62,2.757877,0.233992
63,10.125340,0.233056
64,-2.860240,0.232123
65,0.294771,0.231195
66,0.701985,0.230270
67,4.046083,0.229349
68,-2.434430,0.228432
69,-0.876926,0.227518
70,9.542572,0.226608
71,4.313560,0.225701
72,4.385498,0.224799
73,5.020535,0.223899
74,3.991167,0.223004
75,-0.846276,0.222112
76,16.418026,0.221223
77,17.608439,0.220338
78,5.428413,0.219457
79,6.213690,0.218579
80,4.793347,0.217705
81,2.781596,0.216834
82,-2.046348,0.215967
83,6.382350,0.215103
84,10.336974,0.214243
85,4.395565,0.213386
86,0.265732,0.212532
87,9.727261,0.211682
88,1.911679,0.210835
89,5.607547,0.209992
90,8.345347,0.209152
91,0.961306,0.208315
92,11.519149,0.207482
93,5.834745,0.206652
94,7.372989,0.205825
95,5.011625,0.205002
96,8.566817,0.204182
97,7.798704,0.203365
98,1.009724,0.202552
99,7.419329,0.201742
100,-0.086472,0.200935
101,9.360040,0.200131
102,3.057455,0.199331
103,5.739671,0.198533
104,-1.834058,0.197739
105,3.109389,0.196948
106,1.874148,0.196160
107,8.812362,0.195376
108,-2.348401,0.194594
109,0.119795,0.193816
110,4.056828,0.193041
111,1.847901,0.192268
112,1.387484,0.191499
113,-2.208340,0.190733
114,1.298265,0.189970
115,4.390954,0.189210
116,7.560014,0.188454
117,8.060619,0.187700
118,1.196572,0.186949
119,11.459808,0.186201
120,9.738380,0.185456
121,-0.209236,0.184715
122,5.811287,0.183976
123,7.154643,0.183240
124,2.461088,0.182507
125,17.486693,0.181777
126,10.704423,0.181050
127,11.497681,0.180326
128,5.264771,0.179604
129,9.167959,0.178886
130,4.265213,0.178170
131,16.927848,0.177458
132,1.500506,0.176748
133,18.806466,0.176041
134,9.792706,0.175337
135,10.851600,0.174635
136,2.027871,0.173937
137,8.924076,0.173241
138,0.235724,0.172548
139,10.255393,0.171858
140,0.131888,0.171170
141,7.905397,0.170486
142,7.880807,0.169804
143,2.429238,0.169125
144,4.014371,0.168448
145,6.737263,0.167774
146,3.622892,0.167103
147,1.981453,0.166435
148,4.014220,0.165769
149,1.511256,0.165106
150,5.939309,0.164446
151,-0.981338,0.163788
152,-0.413837,0.163133
153,2.126333,0.162480
154,1.263090,0.161830
155,3.388281,0.161183
156,11.273345,0.160538
157,2.533717,0.159896
158,6.590924,0.159256
159,-0.750383,0.158619
160,0.891844,0.157985
161,2.128861,0.157353
162,2.165281,0.156723
163,1.106785,0.156097
164,5.066085,0.155472
165,0.254435,0.154850
166,13.396364,0.154231
