episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
132,0.092000,1.962000,3,0.058000,0.080000
133,0.446000,1.742000,8,0.158000,0.255000
134,0.090000,1.682000,3,0.054000,0.070000
135,0.372000,2.506000,8,0.184000,0.260000
136,0.062000,0.682000,2,0.028000,0.050000
137,0.112000,1.654000,4,0.076000,0.115000
138,0.020000,0.940000,1,0.016000,0.020000
139,0.012000,0.932000,1,0.018000,0.020000
140,0.212000,1.250000,4,0.084000,0.160000
141,0.182000,2.292000,5,0.098000,0.140000
142,0.142000,0.794000,3,0.064000,0.110000
143,0.030000,0.870000,1,0.018000,0.025000
144,0.318000,2.494000,6,0.128000,0.185000
145,0.036000,1.348000,3,0.050000,0.050000
146,0.090000,1.652000,2,0.044000,0.065000
147,0.106000,1.410000,3,0.056000,0.080000
148,0.042000,0.260000,1,0.020000,0.030000
149,0.030000,0.930000,1,0.018000,0.025000
150,0.036000,0.892000,3,0.038000,0.050000
151,0.016000,0.954000,2,0.022000,0.025000
152,0.038000,0.826000,2,0.042000,0.050000
153,0.100000,1.764000,3,0.062000,0.085000
154,0.006000,0.750000,1,0.012000,0.010000
155,0.152000,1.596000,7,0.102000,0.125000
156,0.106000,0.704000,4,0.072000,0.100000
157,0.032000,1.680000,2,0.030000,0.035000
158,0.192000,1.732000,3,0.072000,0.115000
159,0.500000,1.748000,5,0.140000,0.265000
160,0.032000,1.430000,2,0.030000,0.035000
161,0.014000,0.002000,1,0.010000,0.020000
162,0.350000,0.704000,1,0.064000,0.130000
163,0.100000,1.602000,4,0.078000,0.110000
164,0.170000,1.596000,2,0.068000,0.115000
165,0.394000,0.934000,2,0.060000,0.120000
166,0.042000,0.882000,1,0.026000,0.040000
167,0.032000,1.570000,2,0.030000,0.035000
168,0.238000,1.406000,6,0.126000,0.225000
169,0.036000,0.888000,3,0.040000,0.045000
170,0.000000,0.000000,0,0.000000,0.000000
171,0.000000,0.000000,0,0.000000,0.000000
172,0.000000,0.000000,0,0.000000,0.000000
173,0.228000,0.824000,3,0.080000,0.130000
174,0.108000,1.942000,4,0.074000,0.100000
175,0.160000,1.572000,4,0.082000,0.120000
176,0.144000,2.534000,6,0.096000,0.130000
177,0.220000,2.922000,5,0.100000,0.145000
178,0.160000,2.034000,7,0.112000,0.145000
179,0.448000,1.882000,5,0.102000,0.170000
180,0.794000,1.434000,7,0.186000,0.320000
181,0.022000,1.020000,2,0.026000,0.025000
182,0.158000,1.948000,5,0.108000,0.140000
183,0.188000,1.338000,4,0.102000,0.160000
184,0.454000,1.098000,3,0.092000,0.190000
185,0.382000,1.760000,4,0.098000,0.165000
186,0.122000,2.176000,4,0.080000,0.115000
187,0.180000,3.096000,6,0.118000,0.160000
188,0.218000,1.278000,3,0.072000,0.125000
189,0.352000,1.684000,5,0.122000,0.215000
190,0.062000,1.512000,2,0.042000,0.060000
191,0.048000,1.858000,3,0.060000,0.070000
192,0.044000,0.982000,3,0.046000,0.050000
193,0.140000,1.780000,3,0.060000,0.080000
194,0.306000,0.770000,1,0.042000,0.085000
195,0.000000,0.000000,0,0.000000,0.000000
196,0.404000,2.198000,5,0.134000,0.220000
197,0.534000,0.640000,5,0.162000,0.290000
198,0.340000,3.008000,7,0.176000,0.235000
199,0.184000,1.534000,4,0.086000,0.165000
200,0.044000,1.808000,4,0.062000,0.065000
201,0.056000,2.152000,4,0.062000,0.070000
202,0.174000,2.054000,4,0.084000,0.120000
203,0.308000,2.200000,5,0.130000,0.195000
204,0.066000,1.750000,4,0.050000,0.065000
205,0.170000,2.982000,8,0.114000,0.180000
206,0.172000,1.480000,6,0.104000,0.150000
207,0.524000,2.472000,7,0.142000,0.165000
208,0.080000,0.742000,2,0.032000,0.055000
209,0.068000,1.810000,2,0.036000,0.050000
210,0.090000,1.714000,4,0.072000,0.090000
211,0.154000,1.832000,4,0.078000,0.110000
212,0.144000,2.588000,5,0.094000,0.140000
213,0.104000,1.148000,3,0.054000,0.080000
214,0.216000,2.304000,4,0.090000,0.115000
215,0.062000,2.406000,4,0.062000,0.070000
216,0.038000,1.670000,3,0.042000,0.050000
217,0.164000,0.820000,5,0.094000,0.140000
218,0.000000,0.000000,0,0.000000,0.000000
219,0.188000,2.154000,5,0.106000,0.155000
220,0.032000,1.450000,2,0.030000,0.035000
221,0.218000,2.180000,3,0.070000,0.115000
222,0.052000,0.822000,3,0.044000,0.055000
223,0.138000,1.912000,5,0.090000,0.120000
224,0.120000,1.376000,3,0.076000,0.155000
225,0.058000,1.304000,3,0.054000,0.065000
226,0.226000,2.314000,5,0.092000,0.140000
227,0.204000,1.140000,6,0.128000,0.190000
228,0.032000,0.842000,1,0.022000,0.030000
229,0.118000,1.012000,3,0.050000,0.080000
230,0.684000,1.558000,6,0.160000,0.235000
231,0.094000,0.932000,2,0.044000,0.065000
232,0.374000,1.990000,5,0.100000,0.170000
