episode,avg_reward,noise_std
1,-1.732067,0.298800
2,-2.817270,0.297605
3,-2.336764,0.296414
4,-0.783219,0.295229
5,-1.810916,0.294048
6,-2.281764,0.292872
7,0.646929,0.291700
8,-2.124265,0.290533
9,-4.784298,0.289371
10,-1.501785,0.288214
11,-4.008385,0.287061
12,-0.353833,0.285913
13,-2.670999,0.284769
14,-5.814919,0.283630
15,-7.639412,0.282495
16,-4.737223,0.281365
17,-6.938046,0.280240
18,-11.480033,0.279119
19,-2.950546,0.278002
20,-3.913646,0.276890
21,-5.255239,0.275783
22,-8.639397,0.274680
23,-5.085894,0.273581
24,-7.035114,0.272487
25,-0.274387,0.271397
26,-1.204714,0.270311
27,-5.806492,0.269230
28,-5.698627,0.268153
29,-8.957650,0.267080
30,-0.420121,0.266012
31,-2.149883,0.264948
32,-2.218820,0.263888
33,-7.003686,0.262833
34,-3.937368,0.261781
35,-7.963593,0.260734
36,-6.064546,0.259691
37,-8.031327,0.258653
38,-7.401407,0.257618
39,-9.208470,0.256587
40,-12.977133,0.255561
41,-10.280458,0.254539
42,-9.717850,0.253521
43,-7.555642,0.252507
44,-4.434065,0.251497
45,-5.582444,0.250491
46,-8.514009,0.249489
47,-11.194519,0.248491
48,-8.588964,0.247497
49,-10.050477,0.246507
50,-6.796821,0.245521
51,-7.786281,0.244539
52,-8.185806,0.243560
53,-8.894652,0.242586
54,-6.062750,0.241616
55,-11.533392,0.240649
56,-4.713042,0.239687
57,-4.224902,0.238728
58,-5.582760,0.237773
59,-4.018708,0.236822
60,-4.988992,0.235875
61,-0.355199,0.234931
62,-8.315986,0.233992
63,-6.383866,0.233056
64,-2.133443,0.232123
65,-8.232362,0.231195
66,-4.564147,0.230270
67,-4.971831,0.229349
68,-7.307133,0.228432
69,-7.236221,0.227518
70,-6.122810,0.226608
71,-5.554737,0.225701
72,-3.918719,0.224799
73,-4.604329,0.223899
74,-7.491741,0.223004
75,-1.491522,0.222112
76,-5.956122,0.221223
77,-8.225809,0.220338
78,-12.796717,0.219457
79,-1.794160,0.218579
80,-6.396994,0.217705
81,-4.703174,0.216834
82,-6.122343,0.215967
83,-8.170039,0.215103
84,-5.461376,0.214243
85,-9.624771,0.213386
86,-12.185214,0.212532
87,-7.650583,0.211682
88,-9.001154,0.210835
89,-8.512821,0.209992
90,-5.773105,0.209152
91,-6.353166,0.208315
92,-6.268285,0.207482
93,-3.094868,0.206652
94,-4.423116,0.205825
95,-6.629632,0.205002
96,-7.097992,0.204182
97,-6.562554,0.203365
98,-7.923071,0.202552
99,-4.831775,0.201742
100,-3.251235,0.200935
101,-5.065467,0.200131
102,-4.748806,0.199331
103,-3.493385,0.198533
104,-3.324983,0.197739
105,-5.113568,0.196948
106,-7.575608,0.196160
107,-2.007824,0.195376
108,-2.720566,0.194594
109,-6.812352,0.193816
110,-6.498444,0.193041
111,-4.054036,0.192268
112,-3.411737,0.191499
113,-8.958529,0.190733
114,-8.085693,0.189970
115,-8.067719,0.189210
116,-7.959777,0.188454
117,-9.421366,0.187700
118,-11.951109,0.186949
119,-4.183423,0.186201
120,-6.240978,0.185456
121,-1.959764,0.184715
122,-6.201261,0.183976
123,-7.222030,0.183240
124,-3.925621,0.182507
125,-3.992351,0.181777
126,-2.002700,0.181050
127,-1.614185,0.180326
128,-1.765930,0.179604
129,-5.699474,0.178886
130,-3.097805,0.178170
131,-3.254804,0.177458
132,-5.334828,0.176748
133,-2.407729,0.176041
134,-6.968804,0.175337
135,-7.345956,0.174635
136,-7.261911,0.173937
137,-5.179345,0.173241
138,0.298756,0.172548
139,-6.633815,0.171858
140,-6.797537,0.171170
141,-7.288485,0.170486
142,-1.221592,0.169804
143,-0.893091,0.169125
144,-4.773987,0.168448
145,-5.400380,0.167774
146,-2.430410,0.167103
147,-4.712898,0.166435
148,-2.722938,0.165769
149,-6.575914,0.165106
150,-2.808787,0.164446
151,-5.245471,0.163788
152,-3.584643,0.163133
153,-3.870947,0.162480
154,-3.746618,0.161830
155,-4.128808,0.161183
156,-3.283635,0.160538
157,-4.351381,0.159896
158,-7.310714,0.159256
159,-1.238715,0.158619
160,-6.876326,0.157985
161,-7.733656,0.157353
162,-9.946332,0.156723
163,-6.747641,0.156097
164,-7.806959,0.155472
165,-7.874265,0.154850
166,-10.100657,0.154231
167,-4.055934,0.153614
168,-6.183540,0.153000
169,-5.826256,0.152388
170,-8.020286,0.151778
171,-0.422105,0.151171
172,-9.079139,0.150566
173,-9.235409,0.149964
174,-7.891588,0.149364
175,-8.296709,0.148767
176,-2.358874,0.148172
177,-2.441653,0.147579
178,-4.120082,0.146989
179,-2.060944,0.146401
180,-3.227500,0.145815
181,-4.606626,0.145232
182,-6.814906,0.144651
183,-9.982294,0.144072
184,-5.825447,0.143496
185,-11.410597,0.142922
186,-9.895640,0.142350
187,-2.670712,0.141781
188,-1.794118,0.141214
189,-3.168179,0.140649
190,-14.004775,0.140086
191,-1.352484,0.139526
192,-2.024415,0.138968
193,-10.067285,0.138412
194,-11.245236,0.137858
195,-0.731304,0.137307
196,-7.580070,0.136758
197,-8.547365,0.136211
198,-6.578728,0.135666
199,-4.012891,0.135123
200,-3.388546,0.134583
201,-7.969045,0.134044
202,-6.001022,0.133508
203,-6.168391,0.132974
204,-3.974919,0.132442
205,-2.744591,0.131912
206,-3.354488,0.131385
207,-7.290151,0.130859
208,-3.523794,0.130336
209,-7.991835,0.129814
210,-4.978977,0.129295
211,-5.157675,0.128778
212,-5.684197,0.128263
213,-8.725141,0.127750
214,-4.453375,0.127239
215,-0.453406,0.126730
216,-7.143400,0.126223
217,-2.430248,0.125718
218,-0.619999,0.125215
219,-7.282589,0.124714
220,-1.453153,0.124215
221,-5.563987,0.123719
222,-7.348312,0.123224
223,-8.281237,0.122731
224,-6.572416,0.122240
225,-3.531074,0.121751
226,-1.994789,0.121264
227,-9.862841,0.120779
228,-6.766420,0.120296
229,-6.598143,0.119815
230,-2.871870,0.119335
231,-6.335286,0.118858
232,-4.653635,0.118383
233,-7.941886,0.117909
234,-2.232954,0.117437
235,-5.708361,0.116968
236,-5.715477,0.116500
237,-5.452818,0.116034
238,-1.408362,0.115570
239,-4.361600,0.115107
240,-0.556387,0.114647
241,-3.252534,0.114188
242,-4.633795,0.113732
243,-7.235217,0.113277
244,-5.209312,0.112824
245,-2.062027,0.112372
246,-0.558451,0.111923
247,1.121966,0.111475
248,-3.101586,0.111029
249,-4.407785,0.110585
250,-3.065174,0.110143
251,-5.018400,0.109702
252,-6.511227,0.109263
253,-6.653317,0.108826
254,-3.897768,0.108391
255,-4.640392,0.107957
256,-1.945255,0.107526
257,-2.014630,0.107096
258,-7.726484,0.106667
259,-6.995311,0.106240
260,-4.759780,0.105815
261,-12.031880,0.105392
262,-5.480450,0.104971
263,-3.233686,0.104551
264,-7.730213,0.104133
265,-4.391796,0.103716
266,-3.248702,0.103301
267,-8.194022,0.102888
268,-5.477406,0.102476
269,-1.497664,0.102067
270,1.757991,0.101658
271,-4.200579,0.101252
272,-7.252655,0.100847
273,-2.013176,0.100443
274,-9.409691,0.100041
275,-4.805949,0.099641
276,-4.200607,0.099243
277,-4.595903,0.098846
278,1.231822,0.098450
279,-2.488884,0.098057
280,-8.744047,0.097664
281,-2.580474,0.097274
282,1.229277,0.096885
283,-0.986004,0.096497
284,-5.376922,0.096111
285,-4.481332,0.095727
286,-4.705107,0.095344
287,-4.221986,0.094962
288,-0.594947,0.094582
289,-2.371649,0.094204
290,-4.819746,0.093827
291,-4.766208,0.093452
292,-2.437344,0.093078
293,-3.979794,0.092706
294,-3.019536,0.092335
295,-5.470192,0.091966
296,-5.492038,0.091598
297,-3.839500,0.091231
298,-4.049828,0.090867
299,-0.928741,0.090503
300,-2.186185,0.090141
301,-2.403938,0.089781
302,-6.598607,0.089421
303,-2.829578,0.089064
304,-4.628091,0.088707
305,-4.747187,0.088353
