episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.652000,1.760000,5,0.162000,0.305000
2,0.490000,0.894000,2,0.092000,0.180000
3,0.268000,0.846000,2,0.066000,0.115000
4,0.570000,0.816000,4,0.134000,0.240000
5,0.696000,1.702000,7,0.198000,0.305000
6,0.442000,1.176000,2,0.114000,0.210000
7,0.592000,2.216000,6,0.184000,0.340000
8,0.618000,0.954000,4,0.124000,0.240000
9,1.220000,1.088000,3,0.160000,0.340000
10,0.368000,0.360000,2,0.082000,0.165000
11,0.518000,1.594000,4,0.118000,0.225000
12,0.814000,1.044000,4,0.166000,0.325000
13,0.074000,2.554000,3,0.058000,0.075000
14,0.170000,1.332000,3,0.060000,0.105000
15,0.358000,1.224000,2,0.066000,0.115000
16,0.000000,0.000000,0,0.000000,0.000000
17,0.094000,1.148000,2,0.056000,0.080000
18,0.158000,0.434000,3,0.076000,0.165000
19,0.606000,0.744000,2,0.088000,0.170000
20,0.238000,1.682000,3,0.076000,0.125000
21,0.216000,0.134000,2,0.072000,0.130000
22,0.072000,0.712000,1,0.032000,0.055000
23,0.282000,0.500000,3,0.110000,0.210000
24,0.132000,0.412000,1,0.040000,0.075000
25,0.204000,0.432000,1,0.048000,0.095000
26,0.594000,1.096000,3,0.154000,0.305000
27,0.098000,1.592000,2,0.048000,0.075000
28,0.540000,2.002000,3,0.120000,0.215000
29,0.164000,0.704000,1,0.042000,0.075000
30,1.322000,1.542000,5,0.272000,0.460000
31,0.052000,1.192000,2,0.038000,0.050000
32,0.426000,1.404000,3,0.114000,0.245000
33,0.162000,0.752000,3,0.062000,0.115000
34,0.148000,0.730000,1,0.060000,0.110000
35,0.422000,0.732000,3,0.100000,0.185000
36,0.040000,0.812000,1,0.026000,0.040000
37,0.000000,0.000000,0,0.000000,0.000000
38,0.000000,0.000000,0,0.000000,0.000000
39,0.026000,0.792000,1,0.022000,0.030000
40,0.260000,1.212000,3,0.078000,0.110000
41,0.180000,2.214000,3,0.072000,0.080000
