episode,avg_reward,noise_std
1,4.124712,0.298800
2,9.393852,0.297605
3,9.359157,0.296414
4,15.951780,0.295229
5,22.920990,0.294048
6,10.304268,0.292872
7,7.681636,0.291700
8,8.941339,0.290533
9,8.231646,0.289371
10,7.119474,0.288214
11,10.653682,0.287061
12,13.192276,0.285913
13,7.260277,0.284769
14,11.662512,0.283630
15,2.027527,0.282495
16,4.851121,0.281365
17,12.485248,0.280240
18,7.970700,0.279119
19,2.618091,0.278002
20,0.188945,0.276890
21,6.540353,0.275783
22,8.226825,0.274680
23,4.200780,0.273581
24,3.280662,0.272487
25,0.611172,0.271397
26,2.755921,0.270311
27,2.832981,0.269230
28,16.955103,0.268153
29,9.766106,0.267080
30,7.059089,0.266012
31,2.526228,0.264948
32,3.410525,0.263888
33,18.704233,0.262833
34,8.580820,0.261781
35,3.036326,0.260734
36,7.426310,0.259691
37,7.796118,0.258653
38,7.858188,0.257618
39,8.756321,0.256587
40,6.943507,0.255561
41,8.251059,0.254539
42,3.546141,0.253521
43,11.190447,0.252507
44,3.806112,0.251497
45,10.989169,0.250491
46,5.505387,0.249489
47,-0.279991,0.248491
48,1.321465,0.247497
49,1.896190,0.246507
50,8.966662,0.245521
51,14.237757,0.244539
52,14.872325,0.243560
53,5.867623,0.242586
54,9.340406,0.241616
55,10.625611,0.240649
56,12.479059,0.239687
57,6.814789,0.238728
58,7.975161,0.237773
59,4.056249,0.236822
60,7.495496,0.235875
61,7.023398,0.234931
62,11.442310,0.233992
63,6.368775,0.233056
64,8.190458,0.232123
65,7.624414,0.231195
66,4.853269,0.230270
67,9.190302,0.229349
68,3.660829,0.228432
69,4.511951,0.227518
70,10.299236,0.226608
71,7.790313,0.225701
72,7.656717,0.224799
73,13.685350,0.223899
74,13.355953,0.223004
75,12.643106,0.222112
76,16.795566,0.221223
77,-1.032910,0.220338
78,2.041378,0.219457
79,5.101507,0.218579
80,13.044600,0.217705
81,9.698808,0.216834
82,15.286813,0.215967
83,14.118970,0.215103
84,2.015937,0.214243
85,9.461094,0.213386
86,10.402450,0.212532
87,19.722997,0.211682
88,3.265481,0.210835
89,9.141066,0.209992
90,3.949968,0.209152
91,8.752014,0.208315
92,4.237879,0.207482
93,11.096452,0.206652
94,7.299749,0.205825
95,4.266305,0.205002
96,7.202712,0.204182
97,4.865876,0.203365
98,6.848863,0.202552
99,5.859100,0.201742
100,3.508095,0.200935
