episode,avg_reward,noise_std
1,-7.875706,0.298800
2,-8.829219,0.297605
3,-9.396165,0.296414
4,-10.740515,0.295229
5,-9.625194,0.294048
6,-0.460600,0.292872
7,0.292082,0.291700
8,-7.541945,0.290533
9,-5.518447,0.289371
10,-6.220491,0.288214
11,-8.458124,0.287061
12,-3.777429,0.285913
13,0.407203,0.284769
14,-6.445040,0.283630
15,-3.974560,0.282495
16,-3.075022,0.281365
17,-7.176262,0.280240
18,-4.009826,0.279119
19,-8.967169,0.278002
20,-1.787591,0.276890
21,-7.033001,0.275783
22,-6.843072,0.274680
23,-5.466376,0.273581
24,-3.649807,0.272487
25,-1.387867,0.271397
26,-1.362977,0.270311
27,-2.484196,0.269230
28,-5.523570,0.268153
29,-0.801770,0.267080
30,-1.941806,0.266012
31,-2.380442,0.264948
32,-5.991661,0.263888
33,-5.353142,0.262833
34,-3.779708,0.261781
35,-2.137693,0.260734
36,-4.852633,0.259691
37,-5.421121,0.258653
38,-5.749406,0.257618
39,-4.250160,0.256587
40,-9.810096,0.255561
41,-5.294611,0.254539
42,-3.913640,0.253521
43,-6.666018,0.252507
44,-0.513855,0.251497
45,-5.696190,0.250491
46,-5.791671,0.249489
47,-8.179752,0.248491
48,-5.374926,0.247497
49,-3.347226,0.246507
50,-5.618549,0.245521
51,-8.694623,0.244539
52,-8.701670,0.243560
53,-1.834380,0.242586
54,-4.037169,0.241616
55,-5.549086,0.240649
56,-5.612146,0.239687
57,-6.756543,0.238728
58,-2.253231,0.237773
59,-3.483811,0.236822
60,-6.643885,0.235875
61,-13.233928,0.234931
62,-7.162488,0.233992
63,-6.220381,0.233056
64,-4.299307,0.232123
65,-7.534169,0.231195
66,-3.633507,0.230270
67,-16.612405,0.229349
68,-4.699933,0.228432
69,-8.110669,0.227518
70,-12.353949,0.226608
71,-9.333790,0.225701
72,-8.689683,0.224799
73,-7.934114,0.223899
74,-4.578334,0.223004
75,-5.908872,0.222112
76,-5.959545,0.221223
77,-6.704747,0.220338
78,-9.685143,0.219457
79,-7.055652,0.218579
80,-6.549029,0.217705
81,-6.929698,0.216834
82,-4.740905,0.215967
83,-18.484906,0.215103
84,-10.128262,0.214243
85,-8.122848,0.213386
86,-12.077865,0.212532
87,-13.021627,0.211682
88,-8.718487,0.210835
89,-5.688624,0.209992
90,-9.143778,0.209152
91,-7.203627,0.208315
92,-10.747651,0.207482
93,-5.761677,0.206652
94,-11.225020,0.205825
95,-11.469822,0.205002
96,-10.336770,0.204182
97,-12.075802,0.203365
98,-10.633020,0.202552
99,-7.297390,0.201742
100,-5.850846,0.200935
101,-4.475392,0.200131
102,-6.880440,0.199331
103,-7.599575,0.198533
104,-5.276910,0.197739
105,-8.808055,0.196948
106,-7.351856,0.196160
107,-4.748541,0.195376
108,-1.250308,0.194594
109,-4.094970,0.193816
110,-1.636366,0.193041
111,-3.693924,0.192268
112,-2.123603,0.191499
113,-3.684267,0.190733
114,-3.787339,0.189970
115,-2.742659,0.189210
116,-2.872628,0.188454
117,-1.812285,0.187700
118,-4.728465,0.186949
119,-4.898438,0.186201
120,-0.926173,0.185456
121,-2.500990,0.184715
122,-4.830504,0.183976
123,-4.062840,0.183240
124,-1.011991,0.182507
125,-1.373120,0.181777
126,-3.105835,0.181050
127,-0.482117,0.180326
128,-2.846437,0.179604
129,-5.877175,0.178886
130,-2.015864,0.178170
131,-0.410151,0.177458
132,-7.594396,0.176748
133,-4.610238,0.176041
134,-1.027835,0.175337
135,-1.290265,0.174635
136,-2.350828,0.173937
137,-4.709025,0.173241
138,-4.606650,0.172548
139,-4.379847,0.171858
140,-4.356418,0.171170
141,-5.861298,0.170486
142,-9.230626,0.169804
143,-5.859172,0.169125
144,-0.916214,0.168448
145,-8.754894,0.167774
146,-4.235178,0.167103
147,-8.024883,0.166435
148,-7.154643,0.165769
149,-1.819629,0.165106
150,-5.666533,0.164446
151,-1.461041,0.163788
152,-6.707506,0.163133
153,-3.381509,0.162480
154,-3.227162,0.161830
155,-5.622122,0.161183
156,-4.263396,0.160538
157,-5.940061,0.159896
158,-6.527393,0.159256
159,-9.139468,0.158619
160,-3.133288,0.157985
161,-8.498201,0.157353
162,-7.552740,0.156723
163,-0.790493,0.156097
164,-3.842670,0.155472
165,-4.482929,0.154850
166,-8.659556,0.154231
167,-7.021114,0.153614
168,-8.542239,0.153000
169,-3.130764,0.152388
170,-8.904191,0.151778
171,-11.294937,0.151171
172,-2.710940,0.150566
173,-6.343758,0.149964
174,-6.767936,0.149364
175,-1.487235,0.148767
176,-4.610448,0.148172
177,-4.011307,0.147579
178,-4.502460,0.146989
179,-4.988556,0.146401
180,0.493090,0.145815
181,-6.327473,0.145232
182,-5.899024,0.144651
183,-5.849958,0.144072
184,-4.851969,0.143496
185,-5.024076,0.142922
186,-5.997751,0.142350
187,-3.655514,0.141781
188,-6.764813,0.141214
189,-1.608143,0.140649
190,-0.679074,0.140086
191,-8.220932,0.139526
192,-11.215830,0.138968
193,-10.062974,0.138412
194,-4.071553,0.137858
195,-6.903582,0.137307
196,-0.598140,0.136758
197,-6.811793,0.136211
198,-2.375851,0.135666
199,-4.288114,0.135123
200,-3.516272,0.134583
201,-4.083473,0.134044
202,-3.178943,0.133508
