episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.132000,2.690000,4,0.090000,0.125000
2,0.262000,3.242000,5,0.100000,0.140000
3,0.122000,3.000000,5,0.084000,0.105000
4,0.122000,2.540000,3,0.058000,0.085000
5,0.302000,2.940000,4,0.108000,0.170000
6,0.332000,1.412000,5,0.122000,0.235000
7,0.092000,1.974000,3,0.062000,0.085000
8,0.306000,1.466000,5,0.114000,0.210000
9,0.078000,0.910000,2,0.036000,0.050000
10,0.114000,0.752000,5,0.074000,0.080000
11,0.140000,1.410000,5,0.070000,0.115000
12,0.252000,1.466000,3,0.092000,0.180000
13,0.210000,1.676000,8,0.120000,0.170000
14,0.294000,0.994000,3,0.080000,0.190000
15,0.018000,1.910000,2,0.026000,0.025000
16,0.044000,0.800000,4,0.036000,0.050000
17,0.104000,1.698000,3,0.066000,0.070000
18,0.148000,2.700000,5,0.098000,0.125000
19,0.026000,1.096000,3,0.034000,0.035000
20,0.418000,1.722000,6,0.112000,0.175000
21,0.006000,0.960000,1,0.012000,0.010000
22,0.218000,1.754000,4,0.092000,0.140000
23,0.162000,0.970000,2,0.050000,0.085000
24,0.118000,2.482000,6,0.090000,0.120000
25,0.134000,1.210000,3,0.056000,0.080000
26,0.056000,1.890000,3,0.046000,0.055000
27,0.104000,2.050000,3,0.054000,0.075000
28,0.206000,1.676000,4,0.092000,0.135000
29,0.132000,1.280000,3,0.070000,0.090000
30,0.012000,0.900000,2,0.016000,0.035000
31,0.144000,2.530000,7,0.100000,0.130000
32,0.090000,1.942000,4,0.066000,0.095000
33,0.076000,0.950000,3,0.044000,0.050000
34,0.012000,0.880000,1,0.014000,0.015000
35,0.178000,1.346000,5,0.098000,0.165000
36,0.198000,3.358000,6,0.122000,0.155000
37,0.066000,0.682000,2,0.042000,0.060000
38,0.122000,1.690000,3,0.054000,0.075000
39,0.188000,1.768000,6,0.102000,0.140000
40,0.198000,1.662000,4,0.072000,0.110000
41,0.118000,0.744000,1,0.044000,0.080000
42,0.112000,0.022000,1,0.032000,0.055000
43,0.284000,2.232000,5,0.092000,0.140000
44,0.176000,1.582000,5,0.096000,0.130000
45,0.308000,1.960000,4,0.108000,0.170000
46,0.266000,1.096000,5,0.112000,0.175000
47,0.048000,1.090000,3,0.036000,0.050000
48,0.222000,1.610000,3,0.060000,0.100000
49,0.464000,3.330000,5,0.116000,0.185000
50,0.360000,2.312000,5,0.148000,0.245000
51,0.188000,2.906000,5,0.106000,0.140000
52,0.292000,0.878000,3,0.090000,0.150000
53,0.282000,2.920000,4,0.090000,0.145000
54,0.020000,0.802000,2,0.030000,0.030000
55,0.078000,1.554000,3,0.056000,0.070000
56,0.276000,1.970000,5,0.120000,0.195000
57,0.104000,3.000000,7,0.082000,0.100000
58,0.090000,2.446000,3,0.064000,0.085000
59,0.076000,1.646000,4,0.062000,0.080000
60,0.054000,2.012000,4,0.060000,0.100000
61,0.076000,1.392000,3,0.054000,0.070000
62,0.048000,1.510000,3,0.044000,0.050000
63,0.120000,1.782000,5,0.086000,0.110000
64,0.082000,1.452000,4,0.056000,0.075000
65,0.180000,0.862000,3,0.062000,0.100000
66,0.112000,0.622000,2,0.046000,0.070000
67,0.138000,1.300000,4,0.054000,0.095000
68,0.272000,0.680000,3,0.072000,0.120000
69,0.318000,1.612000,5,0.128000,0.260000
70,0.026000,0.438000,2,0.028000,0.035000
71,0.080000,1.632000,3,0.054000,0.070000
72,0.098000,0.980000,2,0.042000,0.065000
73,0.176000,1.882000,4,0.084000,0.125000
74,0.062000,1.912000,5,0.072000,0.075000
75,0.222000,1.966000,5,0.114000,0.170000
76,0.158000,1.664000,5,0.096000,0.130000
77,0.080000,2.336000,5,0.086000,0.100000
78,0.122000,1.554000,3,0.064000,0.085000
79,0.246000,1.478000,5,0.108000,0.145000
80,0.280000,1.864000,4,0.102000,0.165000
81,0.280000,2.028000,8,0.152000,0.215000
82,0.804000,2.392000,4,0.220000,0.420000
83,0.056000,1.052000,3,0.042000,0.075000
84,0.242000,2.240000,6,0.118000,0.175000
85,0.284000,3.178000,6,0.120000,0.160000
86,0.170000,3.110000,6,0.102000,0.135000
87,0.132000,0.680000,1,0.030000,0.055000
88,0.340000,1.908000,7,0.142000,0.270000
89,0.326000,0.464000,1,0.066000,0.135000
90,0.082000,2.944000,5,0.080000,0.090000
91,0.038000,1.412000,2,0.034000,0.040000
92,0.270000,3.760000,6,0.116000,0.180000
93,0.062000,1.720000,2,0.034000,0.045000
94,0.274000,2.824000,4,0.096000,0.150000
95,0.306000,3.188000,10,0.184000,0.250000
96,0.086000,0.820000,2,0.040000,0.060000
97,0.132000,0.830000,1,0.030000,0.055000
98,0.354000,0.756000,2,0.066000,0.130000
99,0.100000,0.772000,3,0.058000,0.080000
100,0.184000,1.540000,4,0.076000,0.110000
101,0.072000,1.520000,2,0.038000,0.065000
102,0.436000,1.530000,3,0.110000,0.185000
103,0.080000,1.924000,3,0.062000,0.130000
104,0.056000,0.830000,1,0.022000,0.035000
105,0.140000,1.380000,3,0.052000,0.065000
106,0.062000,1.256000,3,0.054000,0.065000
107,0.226000,2.190000,5,0.122000,0.165000
108,0.154000,2.090000,5,0.084000,0.110000
109,0.154000,2.064000,5,0.096000,0.180000
110,0.072000,1.780000,2,0.038000,0.055000
111,0.146000,2.136000,4,0.072000,0.080000
112,0.090000,1.590000,4,0.052000,0.070000
113,0.090000,1.732000,2,0.046000,0.070000
114,0.014000,0.072000,1,0.018000,0.020000
115,0.104000,2.672000,5,0.092000,0.125000
116,0.256000,3.264000,5,0.108000,0.160000
117,0.084000,1.786000,4,0.074000,0.090000
118,0.346000,0.934000,3,0.100000,0.205000
119,1.050000,2.850000,6,0.200000,0.310000
120,0.132000,1.834000,4,0.082000,0.115000
121,0.176000,2.356000,5,0.098000,0.150000
122,0.134000,2.280000,4,0.072000,0.075000
123,0.232000,1.588000,5,0.108000,0.155000
124,0.132000,2.700000,4,0.074000,0.105000
125,0.080000,0.802000,2,0.044000,0.065000
126,0.540000,1.460000,4,0.116000,0.255000
127,0.230000,1.958000,8,0.146000,0.175000
128,0.612000,2.486000,7,0.184000,0.245000
129,0.558000,1.520000,7,0.178000,0.300000
130,0.036000,1.790000,4,0.048000,0.040000
131,0.166000,1.684000,4,0.084000,0.120000
132,0.438000,0.814000,2,0.112000,0.275000
133,0.172000,1.396000,2,0.058000,0.090000
134,0.018000,1.892000,2,0.030000,0.030000
135,0.092000,1.150000,3,0.054000,0.075000
136,0.064000,0.742000,2,0.040000,0.055000
137,0.080000,1.132000,3,0.054000,0.095000
138,0.056000,2.500000,3,0.046000,0.055000
139,0.008000,0.930000,2,0.022000,0.015000
140,0.386000,3.370000,6,0.144000,0.215000
141,0.284000,1.956000,6,0.150000,0.190000
142,0.102000,1.340000,5,0.094000,0.115000
143,0.098000,1.620000,3,0.052000,0.070000
