episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
1,-204.537433,-0.041280,-0.130535,-0.002723,-2.720118,0.000000,0.145394,0.462000,2,13,10,2,0
2,-183.825795,-0.001075,-0.310233,-0.003373,-1.938961,-0.012041,0.123176,0.328000,4,39,18,4,0
3,-207.416175,-0.000000,-0.119610,-0.002774,-2.483094,-0.003844,0.093460,0.412000,5,13,23,5,0
4,-140.010789,-0.022153,-0.105331,-0.002855,-2.099612,-0.002360,0.235415,0.402000,3,18,13,3,0
5,-204.849845,-0.000000,-0.184669,-0.002684,-2.625517,0.000000,0.164410,0.458000,3,18,17,3,1
6,-165.240487,-0.000000,-0.249927,-0.002971,-1.809548,-0.000276,0.120447,0.326000,3,33,21,3,0
7,-154.556626,-0.039303,-0.111422,-0.012964,-2.021150,0.000000,0.118846,0.412000,2,12,10,2,0
8,-15.990706,-0.133766,-0.043778,-0.020093,-0.437007,0.000000,0.154722,0.258000,2,14,8,2,0
9,-14.184797,-0.017848,-0.055491,-0.024983,-0.375109,0.000000,0.137411,0.276000,2,10,9,2,0
10,-95.744879,-0.097604,0.015352,-0.023741,-1.325675,0.000000,0.173693,0.362000,2,8,8,2,0
11,-24.841546,-0.171060,-0.108702,-0.027182,-0.316694,0.000000,0.124695,0.162000,2,7,10,2,0
12,-18.856599,-0.253745,-0.013623,-0.028166,-0.300438,0.000000,0.216369,0.298000,2,10,8,2,0
13,-8.528115,-0.102084,-0.012250,-0.028263,-0.284420,0.000000,0.173360,0.318000,4,19,16,4,0
14,-37.152901,-0.000000,0.047189,-0.026333,-0.627519,0.000000,0.158137,0.300000,3,18,10,2,0
15,-16.014656,-0.130144,-0.093795,-0.031526,-0.416424,0.000000,0.170872,0.258000,7,41,18,4,0
16,-22.427921,-0.103970,-0.058151,-0.032795,-0.247926,0.000000,0.123679,0.232000,5,23,14,3,0
17,-21.403338,-0.074203,-0.064043,-0.027965,-0.412216,0.000000,0.184763,0.364000,3,8,13,3,0
18,-30.049931,-0.079723,-0.156500,-0.028037,-0.374316,0.000000,0.122491,0.306000,5,15,18,4,0
19,-35.809057,-0.120708,-0.079834,-0.026642,-0.644257,0.000000,0.205803,0.324000,3,12,9,2,0
20,-15.874345,-0.138155,-0.032065,-0.029301,-0.403693,0.000000,0.118696,0.256000,3,24,9,2,0
21,-42.733516,-0.040066,-0.253814,-0.027914,-0.424221,0.000000,0.131583,0.306000,2,12,8,2,0
22,-62.728778,-0.063103,-0.112913,-0.027305,-0.723881,0.000000,0.161765,0.262000,3,15,11,2,0
23,-4.000586,-0.137082,0.240647,-0.026988,-0.377592,0.000000,0.198161,0.274000,2,19,10,2,0
24,-24.762759,-0.000000,-0.114094,-0.026712,-0.415266,0.000000,0.105811,0.238000,4,22,13,3,0
25,-22.036030,-0.065510,-0.087746,-0.026326,-0.434624,0.000000,0.192542,0.326000,2,15,9,2,0
26,-34.977864,-0.000000,-0.171125,-0.027200,-0.471054,0.000000,0.096275,0.180000,4,28,12,2,0
27,-24.489277,-0.164984,-0.023943,-0.027457,-0.393677,0.000000,0.159245,0.302000,2,13,5,1,0
28,-51.438520,-0.108125,-0.160086,-0.027635,-0.427081,0.000000,0.133705,0.246000,2,28,11,2,0
29,-62.462382,-0.168668,-0.168001,-0.027733,-0.573595,0.000000,0.143803,0.268000,3,29,14,2,0
30,-31.084580,-0.090389,0.106894,-0.027557,-0.420799,0.000000,0.119258,0.242000,3,21,15,3,0
31,-28.013800,-0.082129,-0.078221,-0.028559,-0.408478,0.000000,0.209222,0.342000,3,14,8,2,0
32,-35.711296,-0.079309,-0.074715,-0.027381,-0.508892,0.000000,0.154590,0.310000,3,19,14,3,0
33,-32.985387,-0.134292,-0.043002,-0.027127,-0.498801,0.000000,0.164042,0.312000,2,13,10,2,0
34,-23.793427,-0.242335,-0.019539,-0.025889,-0.520705,0.000000,0.172014,0.302000,3,21,13,3,0
