episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.086000,1.184000,2,0.050000,0.075000
2,0.474000,1.654000,4,0.122000,0.215000
3,0.076000,2.756000,5,0.082000,0.090000
4,0.174000,1.732000,3,0.068000,0.075000
5,0.160000,1.902000,4,0.078000,0.155000
6,0.260000,1.826000,3,0.114000,0.180000
7,0.092000,1.494000,2,0.048000,0.070000
8,0.144000,1.500000,2,0.048000,0.080000
9,0.062000,0.912000,2,0.042000,0.060000
10,0.068000,1.620000,2,0.036000,0.035000
11,0.036000,1.634000,2,0.038000,0.045000
12,0.086000,1.620000,2,0.040000,0.045000
13,0.160000,1.720000,4,0.078000,0.100000
14,0.156000,0.944000,3,0.062000,0.105000
15,0.430000,0.924000,7,0.132000,0.195000
16,0.178000,1.214000,5,0.084000,0.140000
17,0.050000,1.582000,3,0.048000,0.050000
18,0.108000,2.294000,5,0.076000,0.090000
19,0.098000,0.892000,3,0.048000,0.075000
20,0.272000,0.712000,3,0.072000,0.135000
21,0.112000,0.940000,2,0.044000,0.070000
22,0.128000,0.666000,3,0.058000,0.090000
23,0.170000,0.934000,2,0.062000,0.105000
24,0.176000,0.782000,4,0.078000,0.130000
25,0.148000,0.882000,2,0.052000,0.085000
26,0.332000,0.528000,4,0.088000,0.155000
27,0.128000,0.822000,2,0.040000,0.075000
28,0.316000,0.856000,2,0.082000,0.165000
29,0.302000,1.666000,3,0.092000,0.155000
30,0.142000,0.846000,3,0.078000,0.140000
31,0.118000,1.340000,3,0.050000,0.085000
32,0.136000,0.614000,3,0.072000,0.110000
33,0.084000,0.704000,2,0.050000,0.075000
34,0.202000,0.602000,3,0.074000,0.120000
35,0.040000,0.746000,2,0.044000,0.055000
36,0.850000,0.686000,3,0.128000,0.245000
37,0.162000,0.710000,2,0.050000,0.085000
38,0.046000,0.866000,2,0.036000,0.040000
39,0.214000,1.478000,3,0.076000,0.125000
40,0.072000,0.820000,1,0.024000,0.040000
41,0.722000,0.924000,2,0.168000,0.290000
42,0.220000,2.204000,4,0.092000,0.135000
43,0.332000,1.452000,6,0.144000,0.240000
44,0.214000,1.428000,4,0.090000,0.130000
45,0.090000,1.562000,3,0.058000,0.075000
46,0.044000,1.576000,2,0.040000,0.050000
47,0.588000,1.996000,5,0.136000,0.200000
48,0.090000,0.866000,3,0.046000,0.065000
49,0.156000,1.110000,3,0.086000,0.100000
50,0.088000,0.830000,3,0.036000,0.055000
51,0.114000,1.454000,3,0.066000,0.095000
52,0.442000,1.588000,5,0.158000,0.225000
53,0.102000,1.636000,3,0.052000,0.080000
54,0.900000,2.410000,6,0.200000,0.295000
55,0.440000,2.450000,6,0.156000,0.205000
56,0.036000,1.650000,2,0.030000,0.035000
57,0.490000,1.970000,5,0.110000,0.195000
58,0.866000,1.050000,3,0.134000,0.265000
59,0.296000,0.950000,4,0.092000,0.130000
60,0.310000,1.984000,4,0.102000,0.155000
61,0.042000,0.840000,1,0.020000,0.030000
62,0.092000,1.358000,3,0.062000,0.095000
63,0.132000,0.790000,1,0.030000,0.055000
64,0.072000,0.820000,1,0.024000,0.040000
65,0.024000,0.832000,1,0.022000,0.030000
66,0.064000,1.344000,2,0.044000,0.060000
67,0.268000,1.026000,5,0.110000,0.165000
68,0.208000,0.734000,5,0.098000,0.155000
69,0.364000,0.832000,3,0.090000,0.160000
70,0.296000,1.266000,4,0.104000,0.185000
71,0.110000,1.912000,3,0.062000,0.090000
72,0.232000,1.288000,4,0.100000,0.170000
73,0.260000,1.976000,3,0.112000,0.185000
74,0.166000,0.824000,2,0.058000,0.095000
75,0.084000,1.440000,2,0.038000,0.055000
76,0.182000,0.892000,2,0.056000,0.095000
77,0.160000,0.854000,3,0.058000,0.095000
78,0.100000,0.924000,2,0.046000,0.065000
79,0.190000,1.072000,4,0.084000,0.120000
80,0.170000,0.842000,3,0.064000,0.095000
81,0.518000,1.158000,4,0.120000,0.205000
82,0.064000,1.556000,3,0.054000,0.065000
83,0.324000,1.498000,5,0.126000,0.180000
84,0.200000,0.956000,4,0.080000,0.145000
85,0.184000,0.644000,2,0.064000,0.110000
86,0.120000,0.618000,2,0.066000,0.105000
87,0.288000,1.334000,5,0.102000,0.165000
88,0.048000,0.274000,3,0.044000,0.060000
89,0.162000,1.440000,2,0.066000,0.105000
90,0.262000,1.340000,4,0.092000,0.150000
91,0.440000,0.660000,5,0.112000,0.210000
92,0.120000,0.304000,3,0.052000,0.080000
93,0.056000,1.406000,4,0.054000,0.055000
94,0.196000,0.942000,3,0.060000,0.105000
95,0.310000,0.826000,3,0.072000,0.115000
96,0.252000,1.434000,3,0.086000,0.145000
97,0.428000,1.198000,2,0.100000,0.190000
98,0.164000,1.120000,4,0.082000,0.125000
99,0.554000,1.208000,5,0.166000,0.300000
100,0.090000,0.370000,1,0.026000,0.045000
101,0.134000,0.730000,3,0.056000,0.080000
102,0.354000,1.298000,5,0.126000,0.205000
103,0.174000,0.972000,4,0.072000,0.115000
104,0.230000,1.240000,3,0.072000,0.120000
105,0.248000,1.024000,4,0.118000,0.185000
106,0.400000,0.634000,2,0.062000,0.125000
