episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
132,0.174000,1.978000,4,0.110000,0.150000
133,0.194000,0.752000,3,0.082000,0.140000
134,0.192000,1.180000,5,0.112000,0.165000
135,0.168000,1.392000,4,0.072000,0.115000
136,0.156000,1.386000,4,0.098000,0.140000
137,0.300000,0.890000,2,0.062000,0.115000
138,1.778000,1.344000,4,0.230000,0.475000
139,0.258000,1.354000,3,0.084000,0.140000
140,0.296000,1.404000,3,0.084000,0.130000
141,0.112000,1.130000,2,0.044000,0.070000
142,0.442000,0.746000,4,0.112000,0.180000
143,0.214000,1.834000,3,0.086000,0.145000
144,0.394000,1.708000,6,0.150000,0.260000
145,0.274000,1.474000,4,0.100000,0.160000
146,0.270000,1.316000,5,0.124000,0.175000
147,0.376000,1.368000,2,0.080000,0.125000
148,0.108000,1.396000,4,0.074000,0.110000
149,0.216000,1.272000,3,0.078000,0.130000
150,0.162000,0.662000,2,0.044000,0.085000
151,0.008000,0.842000,1,0.016000,0.015000
152,0.258000,1.376000,4,0.090000,0.155000
153,0.232000,0.934000,2,0.064000,0.110000
154,0.358000,0.490000,3,0.112000,0.215000
155,0.062000,1.252000,2,0.042000,0.060000
156,0.036000,0.812000,1,0.024000,0.035000
157,0.038000,1.026000,2,0.038000,0.045000
158,0.172000,1.392000,2,0.056000,0.095000
159,0.160000,1.418000,3,0.070000,0.110000
160,0.486000,1.364000,4,0.118000,0.225000
161,0.174000,1.312000,3,0.076000,0.115000
162,0.174000,1.012000,3,0.072000,0.115000
163,0.916000,1.240000,4,0.142000,0.260000
164,0.088000,0.916000,3,0.066000,0.090000
165,0.428000,0.968000,4,0.102000,0.185000
166,0.178000,1.360000,4,0.092000,0.130000
167,0.322000,0.892000,4,0.120000,0.220000
168,0.108000,1.362000,2,0.046000,0.070000
169,0.102000,0.890000,2,0.040000,0.060000
170,0.098000,2.086000,3,0.062000,0.085000
171,0.290000,1.292000,3,0.086000,0.150000
172,0.130000,1.314000,3,0.068000,0.100000
173,0.206000,1.008000,3,0.070000,0.130000
174,0.182000,1.336000,3,0.082000,0.130000
175,0.098000,0.562000,3,0.058000,0.080000
176,0.080000,0.722000,3,0.046000,0.070000
177,0.110000,0.970000,2,0.042000,0.065000
178,1.178000,1.136000,3,0.170000,0.350000
179,0.096000,0.792000,2,0.058000,0.100000
180,0.368000,1.384000,3,0.102000,0.185000
181,0.390000,1.094000,4,0.108000,0.200000
182,0.162000,1.390000,2,0.048000,0.080000
183,0.330000,0.726000,4,0.124000,0.215000
184,0.068000,0.972000,3,0.068000,0.085000
185,0.094000,0.950000,2,0.054000,0.075000
186,0.590000,1.384000,4,0.128000,0.250000
187,0.386000,1.352000,2,0.078000,0.150000
188,0.086000,1.326000,3,0.060000,0.095000
189,0.076000,0.876000,3,0.056000,0.080000
190,0.120000,0.896000,3,0.060000,0.095000
191,0.092000,0.736000,3,0.058000,0.090000
192,0.220000,1.268000,3,0.096000,0.160000
193,0.786000,1.868000,5,0.158000,0.280000
194,0.278000,1.820000,6,0.134000,0.195000
195,0.520000,1.592000,5,0.124000,0.225000
196,0.138000,0.678000,3,0.072000,0.120000
197,0.000000,0.000000,0,0.000000,0.000000
198,0.154000,1.416000,3,0.076000,0.115000
199,0.212000,2.100000,4,0.076000,0.130000
200,0.174000,1.412000,2,0.058000,0.100000
201,0.216000,1.438000,4,0.100000,0.140000
202,0.132000,1.260000,2,0.046000,0.075000
203,0.176000,1.420000,3,0.066000,0.120000
204,0.770000,1.904000,3,0.122000,0.230000
205,0.230000,1.374000,2,0.068000,0.120000
206,0.084000,1.480000,2,0.038000,0.055000
207,0.232000,1.216000,5,0.114000,0.185000
208,0.996000,1.682000,5,0.168000,0.360000
209,0.072000,0.810000,1,0.024000,0.040000
210,0.250000,1.614000,5,0.114000,0.175000
211,0.636000,1.790000,5,0.162000,0.305000
212,0.420000,1.854000,7,0.154000,0.215000
213,0.276000,1.630000,4,0.114000,0.175000
214,0.072000,0.810000,1,0.024000,0.040000
215,0.254000,1.430000,2,0.058000,0.105000
216,0.314000,2.384000,6,0.132000,0.200000
217,0.116000,1.518000,5,0.092000,0.130000
218,0.306000,1.910000,3,0.104000,0.180000
219,0.100000,1.406000,4,0.070000,0.100000
220,0.334000,1.484000,3,0.088000,0.150000
221,0.268000,1.796000,4,0.106000,0.170000
222,0.250000,1.792000,6,0.122000,0.190000
223,0.448000,2.824000,5,0.134000,0.225000
224,0.172000,1.074000,3,0.070000,0.125000
225,0.152000,2.112000,3,0.070000,0.110000
226,0.162000,1.404000,3,0.070000,0.105000
227,0.384000,1.760000,5,0.150000,0.250000
228,0.284000,1.198000,6,0.116000,0.170000
229,0.082000,1.390000,3,0.050000,0.065000
230,0.280000,0.742000,5,0.106000,0.210000
231,0.062000,1.480000,3,0.048000,0.060000
232,0.428000,1.230000,4,0.140000,0.265000
233,0.158000,1.252000,2,0.058000,0.100000
234,0.072000,0.810000,1,0.024000,0.040000
235,0.754000,1.324000,4,0.146000,0.325000
236,0.142000,1.318000,4,0.080000,0.105000
237,0.058000,1.406000,3,0.058000,0.070000
238,0.194000,0.994000,2,0.064000,0.110000
239,0.078000,1.490000,2,0.036000,0.050000
240,0.042000,0.820000,1,0.020000,0.030000
241,0.032000,0.812000,1,0.024000,0.035000
242,1.024000,1.114000,5,0.178000,0.345000
243,0.176000,1.664000,4,0.080000,0.130000
244,0.394000,1.896000,5,0.106000,0.130000
245,0.146000,0.004000,2,0.038000,0.085000
246,0.186000,0.912000,4,0.072000,0.095000
247,0.210000,1.922000,5,0.094000,0.150000
248,0.140000,1.698000,4,0.096000,0.140000
249,0.164000,1.824000,4,0.082000,0.115000
250,0.242000,1.376000,3,0.074000,0.115000
251,0.050000,1.492000,2,0.036000,0.045000
252,0.194000,1.208000,3,0.092000,0.230000
253,0.050000,1.386000,2,0.046000,0.060000
254,0.072000,0.810000,1,0.024000,0.040000
255,0.318000,1.422000,3,0.082000,0.120000
256,0.150000,1.368000,4,0.072000,0.120000
257,0.104000,2.034000,4,0.078000,0.105000
258,0.196000,1.516000,4,0.096000,0.145000
259,0.500000,1.220000,5,0.138000,0.220000
260,0.238000,1.230000,5,0.098000,0.165000
261,0.070000,1.642000,2,0.040000,0.055000
262,0.570000,1.834000,4,0.112000,0.165000
263,0.074000,2.282000,3,0.058000,0.070000
