episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
55,-13.408298,-0.138155,-0.084365,-0.032210,-0.154031,0.000000,0.135780,0.180000,5,29,18,4,0
56,-5.709729,-0.143913,-0.106961,-0.031147,-0.242333,0.000000,0.131923,0.244000,4,41,19,3,1
57,-2.450144,-0.237801,0.345947,-0.031661,-0.194770,0.000000,0.149975,0.266000,6,31,24,5,0
58,4.935308,-0.293213,-0.092147,-0.030099,-0.170936,0.000000,0.256191,0.310000,3,31,14,3,0
59,0.860311,-0.058533,-0.144275,-0.028242,-0.277036,0.000000,0.200620,0.274000,3,32,13,2,0
60,15.712356,-0.147862,-0.037839,-0.031657,-0.115053,0.000000,0.263457,0.326000,1,6,4,1,0
61,-6.609168,-0.016990,-0.130060,-0.028772,-0.252165,0.000000,0.135415,0.190000,4,20,19,4,0
62,0.300800,-0.147766,0.016114,-0.030863,-0.111331,0.000000,0.205898,0.268000,4,43,17,3,0
63,-4.271461,-0.076518,-0.196077,-0.032659,-0.082257,0.000000,0.177959,0.240000,4,39,19,3,0
64,-42.169471,-0.073154,-0.283492,-0.030775,-0.263568,0.000000,0.087224,0.164000,5,41,22,4,0
65,-7.914864,-0.114748,-0.086783,-0.028587,-0.247988,0.000000,0.176632,0.252000,3,16,13,3,0
66,-34.167358,-0.105534,0.087515,-0.033366,-0.320094,0.000000,0.109380,0.230000,6,40,28,5,0
67,-11.567474,-0.035465,-0.124481,-0.032474,-0.274220,0.000000,0.138592,0.236000,4,28,19,4,0
68,-7.494035,-0.085203,-0.019291,-0.032949,-0.295515,0.000000,0.143035,0.206000,6,36,26,6,0
69,-29.829446,-0.169973,-0.099838,-0.034656,-0.204797,-0.013731,0.160455,0.194000,3,23,14,3,0
70,-11.135048,-0.150531,-0.135311,-0.033240,-0.239269,0.000000,0.169630,0.274000,3,38,14,3,0
71,-7.247455,-0.034377,-0.028037,-0.036274,-0.122498,0.000000,0.094421,0.198000,8,42,39,8,0
72,-23.083569,-0.078985,0.306624,-0.035279,-0.239748,0.000000,0.109299,0.168000,10,58,46,10,0
73,-24.446634,-0.206179,-0.068178,-0.032863,-0.302621,0.000000,0.210024,0.244000,4,27,16,4,0
74,-6.081318,-0.156411,-0.061271,-0.031955,-0.316931,0.000000,0.143828,0.246000,5,27,20,4,0
75,-47.045544,-0.152666,0.213944,-0.028537,-0.707725,0.000000,0.133657,0.304000,4,32,14,3,0
76,-8.150644,-0.208748,-0.065942,-0.033339,-0.134840,0.000000,0.123947,0.190000,7,46,31,7,0
77,-50.593733,-0.160354,-0.131534,-0.023136,-0.737774,0.000000,0.196646,0.302000,5,24,21,4,0
78,-47.612282,-0.014238,0.117794,-0.026614,-0.754662,0.000000,0.160849,0.294000,3,17,12,3,0
79,-20.299608,-0.057545,0.209381,-0.026420,-0.206161,0.000000,0.123831,0.238000,4,24,19,4,0
80,-38.772106,-0.006052,-0.020789,-0.029213,-0.326420,0.000000,0.120184,0.224000,4,33,19,4,0
81,-75.403661,-0.141140,-0.217412,-0.025218,-0.759664,0.000000,0.156279,0.274000,5,23,23,5,0
82,-17.153491,-0.017409,0.006510,-0.021743,-0.674085,-0.005266,0.213986,0.316000,2,8,8,2,0
83,-22.794345,-0.061703,-0.025036,-0.022428,-0.534932,-0.008286,0.228188,0.308000,2,7,10,2,0
84,-14.704817,-0.149903,-0.025141,-0.023092,-0.368199,0.000000,0.200378,0.278000,3,17,9,2,0
85,-14.706988,-0.016092,-0.140024,-0.022710,-0.381431,0.000000,0.183395,0.292000,3,16,9,2,0
86,-27.055495,-0.013863,-0.320125,-0.030735,-0.235810,0.000000,0.135430,0.246000,3,34,10,2,0
87,-13.978673,-0.057150,-0.172671,-0.025527,-0.242149,0.000000,0.165843,0.252000,4,18,18,4,0
88,-35.114868,-0.045743,-0.094818,-0.023878,-0.488763,0.000000,0.151147,0.256000,3,31,14,3,0
89,-21.899316,-0.137998,-0.151041,-0.027188,-0.232888,0.000000,0.096384,0.232000,5,46,25,5,0
90,-16.361057,-0.000000,0.088305,-0.028059,-0.411962,0.000000,0.230925,0.294000,4,38,20,4,0
91,-17.235113,-0.071045,-0.081678,-0.029582,-0.182090,0.000000,0.113297,0.152000,3,14,12,3,0
92,-45.879775,0.000000,-0.336124,-0.026112,-0.423249,0.000000,0.149348,0.236000,4,49,21,3,0
93,-24.464139,-0.014499,-0.057899,-0.024912,-0.410059,0.000000,0.153171,0.246000,3,28,13,3,0
94,-33.370771,-0.137561,-0.039752,-0.024493,-0.574160,0.000000,0.227426,0.250000,2,11,9,2,0
95,-28.544255,-0.151309,-0.042837,-0.025838,-0.547815,0.000000,0.189183,0.246000,3,16,8,2,0
96,-50.309086,-0.000000,-0.167931,-0.018744,-0.695414,0.000000,0.153834,0.206000,4,35,19,4,0
97,-25.506354,-0.095049,-0.167466,-0.027273,-0.304368,0.000000,0.145267,0.252000,3,81,14,2,0
98,-25.739576,-0.020521,-0.106765,-0.021678,-0.581547,0.000000,0.193347,0.294000,3,20,11,2,0
99,-20.338703,-0.109861,-0.127705,-0.026873,-0.314475,0.000000,0.186658,0.266000,4,36,16,4,0
100,12.436362,-0.028676,-0.095143,-0.029196,-0.163458,0.000000,0.146125,0.220000,3,18,14,3,0
101,6.296322,-0.052367,-0.051777,-0.023983,-0.226015,0.000000,0.192937,0.276000,2,10,9,2,0
102,-21.669654,-0.000000,-0.353879,-0.027355,-0.273392,0.000000,0.123236,0.254000,5,52,25,4,0
103,2.510236,-0.220057,0.046904,-0.029856,-0.191173,0.000000,0.208182,0.276000,2,13,11,2,0
104,16.823292,-0.087027,-0.015514,-0.031252,-0.175532,-0.011952,0.205669,0.272000,2,12,8,2,0
105,34.665933,-0.064533,0.238222,-0.032036,-0.110232,0.000000,0.237565,0.314000,5,44,24,3,0
106,2.728457,-0.007113,0.127190,-0.025401,-0.369903,0.000000,0.194957,0.258000,4,29,12,3,0
107,-20.031529,-0.047492,-0.076401,-0.026184,-0.477028,0.000000,0.143820,0.280000,1,30,5,1,0
108,-36.354920,-0.225407,0.126973,-0.026439,-0.542519,0.000000,0.141712,0.216000,2,30,8,1,0
109,-12.484099,-0.142296,-0.123711,-0.030344,-0.176501,0.000000,0.233330,0.234000,2,13,9,2,0
110,-7.863039,-0.125000,0.106037,-0.029546,-0.197167,0.000000,0.201848,0.272000,3,16,13,3,0
111,1.439465,-0.045202,-0.046802,-0.030816,-0.172971,0.000000,0.187874,0.204000,6,31,25,6,0
112,-23.177167,-0.041312,-0.006402,-0.025843,-0.595033,0.000000,0.160925,0.238000,1,23,4,1,0
113,-4.549471,-0.062923,-0.024041,-0.028806,-0.262011,0.000000,0.183652,0.238000,3,17,15,3,0
114,-4.157655,-0.154918,-0.008549,-0.023285,-0.457791,0.000000,0.153800,0.236000,2,29,12,1,0
115,1.006646,-0.001139,-0.120714,-0.026312,-0.194837,0.000000,0.117271,0.184000,4,29,16,3,0
116,-17.578076,0.000000,0.172399,-0.023703,-0.361446,0.000000,0.206319,0.212000,3,24,13,3,0
117,-1.078702,-0.024348,-0.040194,-0.024469,-0.336577,0.000000,0.238606,0.290000,3,17,12,3,0
118,-15.047528,-0.059509,0.018507,-0.023719,-0.475742,0.000000,0.227199,0.262000,3,25,13,3,0
119,-9.607537,-0.138155,0.013829,-0.024721,-0.180691,0.000000,0.154260,0.270000,5,17,17,3,0
120,-9.674957,-0.074337,-0.112279,-0.026858,-0.161580,0.000000,0.174093,0.198000,3,22,14,3,0
121,-9.889554,-0.155402,0.111638,-0.025783,-0.221549,0.000000,0.154817,0.222000,5,69,23,4,0
122,-30.173634,-0.116623,-0.212410,-0.018984,-0.359987,0.000000,0.117995,0.220000,3,46,14,3,0
123,-3.104390,-0.123613,-0.113179,-0.030649,-0.165876,0.000000,0.203459,0.280000,3,12,13,3,0
