episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
43,0.092000,0.900000,2,0.036000,0.050000,-0.000000,0.000797,-0.031169,-0.020811,0.000000,-0.550574,-0.601757
44,0.132000,1.016000,3,0.050000,0.075000,-0.000000,0.000870,-0.071844,-0.024261,0.000000,-0.335298,-0.430533
45,0.188000,0.960000,2,0.052000,0.090000,-0.000000,0.000735,-0.123629,-0.021896,0.000000,-0.330078,-0.474868
46,0.170000,1.710000,3,0.066000,0.120000,0.000000,0.001133,-0.145199,-0.025797,0.000000,-0.317579,-0.487443
47,0.204000,1.660000,3,0.070000,0.135000,0.000000,0.001172,-0.141796,-0.024224,0.000000,-0.327448,-0.492297
48,0.426000,2.070000,5,0.106000,0.185000,0.000000,0.000641,-0.150779,-0.025227,0.000000,-0.291765,-0.467130
49,0.130000,2.380000,4,0.070000,0.090000,0.000000,0.000257,-0.071305,-0.022316,0.000000,-0.377965,-0.471330
50,0.086000,1.570000,2,0.040000,0.060000,-0.000000,0.001317,-0.045525,-0.025822,0.000000,-0.340508,-0.410539
51,0.316000,2.190000,5,0.108000,0.170000,0.000000,0.000266,-0.102715,-0.021436,0.000000,-0.415218,-0.539103
52,0.254000,1.700000,3,0.074000,0.125000,0.000000,0.000995,-0.157452,-0.022891,0.000000,-0.405541,-0.584889
53,0.416000,1.630000,3,0.084000,0.205000,0.000000,0.001210,-0.061910,-0.022562,0.000000,-0.463531,-0.546793
54,0.210000,2.300000,5,0.096000,0.140000,0.000000,0.000171,-0.117260,-0.022103,-0.007285,-0.508258,-0.654736
55,0.124000,2.340000,4,0.064000,0.100000,0.000000,0.000302,-0.068456,-0.024469,0.000000,-0.477119,-0.569742
56,0.138000,2.260000,4,0.072000,0.105000,-0.000000,0.000568,-0.087712,-0.025603,0.000000,-0.499966,-0.612712
57,0.062000,1.540000,2,0.036000,0.050000,0.000000,0.001094,-0.042617,-0.023034,0.000000,-1.020316,-1.084873
58,0.118000,2.450000,3,0.058000,0.085000,0.000000,0.000108,-0.047994,-0.023393,0.000000,-0.442855,-0.514134
59,0.216000,1.800000,5,0.088000,0.145000,0.000000,0.000419,-0.089033,-0.019374,0.000000,-0.822242,-0.930229
60,0.242000,1.450000,3,0.074000,0.125000,0.000000,0.000585,-0.056199,-0.026164,0.000000,-0.398852,-0.480631
61,0.114000,1.650000,2,0.044000,0.070000,0.000000,0.000166,-0.038995,-0.019849,0.000000,-0.783865,-0.842542
62,0.146000,1.620000,2,0.048000,0.080000,0.000000,0.000139,-0.044615,-0.025507,0.000000,-0.492407,-0.562389
63,0.102000,1.510000,2,0.040000,0.060000,0.000000,0.001128,-0.023885,-0.026418,0.000000,-0.526276,-0.575451
64,0.112000,1.630000,2,0.044000,0.070000,0.000000,0.000115,-0.073508,-0.024754,0.000000,-0.645593,-0.743740
65,0.416000,1.022000,2,0.072000,0.135000,-0.000000,0.001233,-0.082893,-0.026139,0.000000,-0.675928,-0.783727
66,0.602000,0.892000,4,0.110000,0.190000,-0.000000,0.001138,-0.131030,-0.024574,0.000000,-0.858378,-1.012844
67,0.314000,1.090000,2,0.060000,0.130000,0.000000,0.001106,-0.109121,-0.024745,0.000000,-0.936841,-1.069601
68,0.352000,0.802000,5,0.100000,0.175000,0.000000,0.000803,-0.048258,-0.027456,0.000000,-0.674769,-0.749680
