episode,avg_reward,noise_std
1,12.710708,0.298800
2,25.355184,0.297605
3,32.323167,0.296414
4,19.041524,0.295229
5,37.180341,0.294048
6,10.002632,0.292872
7,2.323425,0.291700
8,1.997238,0.290533
9,0.086891,0.289371
10,-0.061537,0.288214
11,0.995534,0.287061
12,-0.539868,0.285913
13,1.175572,0.284769
14,-2.045383,0.283630
15,3.464762,0.282495
16,2.610942,0.281365
17,2.743669,0.280240
18,0.463211,0.279119
19,0.533602,0.278002
20,18.341571,0.276890
21,5.011321,0.275783
22,-1.412900,0.274680
23,-2.452248,0.273581
24,10.434984,0.272487
25,13.020187,0.271397
26,5.150896,0.270311
27,-1.298409,0.269230
28,-1.060353,0.268153
29,-2.033874,0.267080
30,5.053781,0.266012
31,0.593497,0.264948
32,-1.002760,0.263888
33,0.598633,0.262833
34,7.906105,0.261781
35,1.202878,0.260734
36,-0.594947,0.259691
37,0.470375,0.258653
38,1.504552,0.257618
39,5.708897,0.256587
40,6.725130,0.255561
41,3.757611,0.254539
42,4.446394,0.253521
43,7.181459,0.252507
44,7.093184,0.251497
45,7.198278,0.250491
46,12.787402,0.249489
47,16.448408,0.248491
48,14.943961,0.247497
49,13.911071,0.246507
50,14.893780,0.245521
51,15.535544,0.244539
52,15.253519,0.243560
53,3.553957,0.242586
54,1.907638,0.241616
55,8.240563,0.240649
56,2.284379,0.239687
57,2.435924,0.238728
58,5.421195,0.237773
59,6.202553,0.236822
60,4.000531,0.235875
61,3.464474,0.234931
62,3.164383,0.233992
63,6.594869,0.233056
64,2.828131,0.232123
65,8.386759,0.231195
66,4.186598,0.230270
67,3.083765,0.229349
68,4.355051,0.228432
69,1.565664,0.227518
70,4.957471,0.226608
71,2.934274,0.225701
72,4.671292,0.224799
73,2.217936,0.223899
74,3.377722,0.223004
75,5.200577,0.222112
76,4.809192,0.221223
77,2.041329,0.220338
78,3.664156,0.219457
79,2.758983,0.218579
80,7.116033,0.217705
81,2.601604,0.216834
82,11.679986,0.215967
83,2.038805,0.215103
84,4.271481,0.214243
85,3.361547,0.213386
86,4.355672,0.212532
87,3.496168,0.211682
88,4.989056,0.210835
89,4.206655,0.209992
90,3.701673,0.209152
91,3.779421,0.208315
92,4.731069,0.207482
93,3.211036,0.206652
94,5.443659,0.205825
95,4.302933,0.205002
96,4.570241,0.204182
97,4.610649,0.203365
98,3.709999,0.202552
99,4.059861,0.201742
100,1.623116,0.200935
101,4.857447,0.200131
102,1.309864,0.199331
103,2.171956,0.198533
104,2.956075,0.197739
105,6.725845,0.196948
106,10.183386,0.196160
107,14.612731,0.195376
108,10.591672,0.194594
109,12.596017,0.193816
110,15.863523,0.193041
111,10.160415,0.192268
112,12.832602,0.191499
113,11.748113,0.190733
114,10.778289,0.189970
115,6.656298,0.189210
116,8.082928,0.188454
117,10.841919,0.187700
118,14.482982,0.186949
119,12.205872,0.186201
120,9.554303,0.185456
121,6.268460,0.184715
122,3.035346,0.183976
123,5.564902,0.183240
124,2.329618,0.182507
125,6.454323,0.181777
126,3.590236,0.181050
127,5.682807,0.180326
128,5.079481,0.179604
129,7.823527,0.178886
130,5.914751,0.178170
131,4.592837,0.177458
132,6.818175,0.176748
133,1.548433,0.176041
134,4.333806,0.175337
135,3.338469,0.174635
136,1.232176,0.173937
137,3.517395,0.173241
138,3.541785,0.172548
139,3.955352,0.171858
140,2.221610,0.171170
141,8.227270,0.170486
142,3.750535,0.169804
143,0.522392,0.169125
144,2.064147,0.168448
145,1.623919,0.167774
146,11.469280,0.167103
147,4.340039,0.166435
148,8.241527,0.165769
149,4.752093,0.165106
150,1.479863,0.164446
151,1.308076,0.163788
152,3.842978,0.163133
153,0.875089,0.162480
154,3.308314,0.161830
155,1.210820,0.161183
156,1.351520,0.160538
157,2.978613,0.159896
158,1.326512,0.159256
159,1.977592,0.158619
160,1.897174,0.157985
161,1.556713,0.157353
162,2.558116,0.156723
163,2.816313,0.156097
164,-0.203099,0.155472
165,3.259801,0.154850
166,3.749622,0.154231
167,-2.554208,0.153614
168,2.937451,0.153000
169,0.357279,0.152388
170,2.105435,0.151778
171,1.010974,0.151171
