episode,avg_reward,noise_std
1,-0.024845,0.298800
2,-6.393269,0.297605
3,-2.241376,0.296414
4,-2.452998,0.295229
5,-3.770673,0.294048
6,-4.548186,0.292872
7,-6.095883,0.291700
8,-7.407807,0.290533
9,-4.387685,0.289371
10,-9.526561,0.288214
11,-4.897706,0.287061
12,-5.590170,0.285913
13,-6.547817,0.284769
14,-6.349091,0.283630
15,-4.285579,0.282495
16,-13.650075,0.281365
17,-10.047441,0.280240
18,-9.961771,0.279119
19,-4.635269,0.278002
20,-2.576642,0.276890
21,-3.099217,0.275783
22,-2.213813,0.274680
23,-6.384157,0.273581
24,-4.786774,0.272487
25,-8.317117,0.271397
26,-2.985951,0.270311
27,-5.992645,0.269230
28,-0.963028,0.268153
29,-0.942846,0.267080
30,-6.483504,0.266012
31,-3.348664,0.264948
32,-7.556073,0.263888
33,-5.835260,0.262833
34,-4.336439,0.261781
35,-4.367991,0.260734
36,-4.028576,0.259691
37,-5.769363,0.258653
38,-3.193912,0.257618
39,-4.112436,0.256587
40,-4.763143,0.255561
41,-2.859533,0.254539
42,-3.588958,0.253521
43,-6.080498,0.252507
44,-5.875823,0.251497
45,-1.092755,0.250491
46,-3.835755,0.249489
47,-0.732143,0.248491
48,0.133062,0.247497
49,-3.894089,0.246507
50,-0.227103,0.245521
51,-6.370331,0.244539
52,-9.248044,0.243560
53,-2.438928,0.242586
54,-5.068052,0.241616
55,-2.331341,0.240649
56,-6.379761,0.239687
57,-4.241939,0.238728
58,-5.199632,0.237773
59,-4.148264,0.236822
60,-2.409118,0.235875
61,-7.090535,0.234931
62,-6.329840,0.233992
63,-4.276128,0.233056
64,-5.282935,0.232123
65,-6.369733,0.231195
66,-6.046823,0.230270
67,-7.230253,0.229349
68,-6.326167,0.228432
69,-7.041497,0.227518
70,-5.361853,0.226608
71,-4.554340,0.225701
72,-7.986857,0.224799
73,-1.575536,0.223899
74,-10.672427,0.223004
75,-3.825425,0.222112
76,-2.358915,0.221223
77,-8.891100,0.220338
78,-4.386954,0.219457
79,-6.299223,0.218579
80,-5.340534,0.217705
81,-9.170080,0.216834
82,-6.685707,0.215967
83,-2.490409,0.215103
84,-8.025440,0.214243
85,-7.617196,0.213386
86,-4.971858,0.212532
87,-8.477735,0.211682
88,-4.741034,0.210835
89,-4.588714,0.209992
90,-3.012805,0.209152
91,-2.511369,0.208315
92,-3.202979,0.207482
93,-3.874230,0.206652
94,-5.181370,0.205825
95,-3.625676,0.205002
96,-3.050567,0.204182
97,-10.233184,0.203365
98,-1.593146,0.202552
99,-4.013495,0.201742
100,-2.917761,0.200935
101,-4.623316,0.200131
102,-4.170737,0.199331
103,-4.445464,0.198533
104,-5.655748,0.197739
105,-4.898565,0.196948
106,-5.256988,0.196160
107,-0.890784,0.195376
108,-2.451985,0.194594
109,-4.542099,0.193816
110,-2.652646,0.193041
111,-1.282089,0.192268
112,-4.548188,0.191499
113,-6.892307,0.190733
114,-5.893865,0.189970
115,-4.267639,0.189210
116,-4.946785,0.188454
117,-5.314159,0.187700
118,-2.294638,0.186949
119,-5.721399,0.186201
120,-6.637117,0.185456
121,-4.220307,0.184715
122,-4.246091,0.183976
123,-9.200141,0.183240
124,-3.911167,0.182507
125,-7.509807,0.181777
126,-8.191026,0.181050
127,-4.347892,0.180326
128,-6.900243,0.179604
129,-5.982291,0.178886
130,-11.342168,0.178170
131,-1.347651,0.177458
132,-6.763107,0.176748
133,-7.490141,0.176041
134,-5.095035,0.175337
135,-9.671738,0.174635
136,-3.262719,0.173937
137,-2.404874,0.173241
138,-6.568221,0.172548
139,-5.742489,0.171858
140,-4.749304,0.171170
141,-4.489478,0.170486
142,-2.614958,0.169804
143,-5.582504,0.169125
144,-4.045464,0.168448
145,-6.077150,0.167774
146,-4.821306,0.167103
147,-6.506831,0.166435
148,-8.013023,0.165769
149,-1.985561,0.165106
150,-2.616198,0.164446
151,-5.389562,0.163788
152,-7.981969,0.163133
153,-7.857632,0.162480
154,-11.303038,0.161830
155,-3.739595,0.161183
156,-4.691529,0.160538
157,-8.237498,0.159896
158,-11.603400,0.159256
159,-8.599330,0.158619
