episode,avg_reward,noise_std
1,-150.590242,0.298800
2,-126.306418,0.297605
3,-130.149376,0.296414
4,-170.147138,0.295229
5,-193.368469,0.294048
6,-147.239316,0.292872
7,-52.265700,0.291700
8,-25.236794,0.290533
9,-15.850107,0.289371
10,-47.469522,0.288214
11,-45.936705,0.287061
12,-17.141320,0.285913
13,-73.154624,0.284769
14,-66.772825,0.283630
15,-99.779807,0.282495
16,-47.484250,0.281365
17,-56.656971,0.280240
18,-43.882518,0.279119
19,-5.118540,0.278002
20,-27.789447,0.276890
21,-33.544136,0.275783
22,-11.574548,0.274680
23,-6.534527,0.273581
24,-16.289584,0.272487
25,-32.594812,0.271397
26,-8.881500,0.270311
27,-25.611608,0.269230
28,-22.474010,0.268153
29,-26.087947,0.267080
30,-32.559943,0.266012
31,-44.353241,0.264948
32,-27.999144,0.263888
33,-18.674921,0.262833
34,-6.459266,0.261781
35,-28.218855,0.260734
36,5.786428,0.259691
37,8.495270,0.258653
38,-57.257273,0.257618
39,-49.556898,0.256587
40,-49.459852,0.255561
41,-37.056488,0.254539
42,-37.402816,0.253521
43,-60.853703,0.252507
44,-17.291385,0.251497
45,-28.525355,0.250491
46,-49.884936,0.249489
47,-11.808014,0.248491
48,-12.218662,0.247497
49,-29.487543,0.246507
50,-10.607168,0.245521
51,-53.821539,0.244539
52,-40.701869,0.243560
53,-12.048400,0.242586
54,-27.013662,0.241616
55,-17.039089,0.240649
56,-53.357029,0.239687
57,-58.621124,0.238728
58,-65.918204,0.237773
59,-44.311021,0.236822
60,-34.944486,0.235875
61,-11.372567,0.234931
62,-56.405285,0.233992
63,-27.841514,0.233056
64,-25.556386,0.232123
65,-52.079545,0.231195
66,-40.381337,0.230270
67,-10.991480,0.229349
68,-48.900695,0.228432
69,-40.643417,0.227518
70,-48.148243,0.226608
71,-68.459738,0.225701
72,-56.509959,0.224799
73,-1.827568,0.223899
74,-10.675002,0.223004
75,-13.669516,0.222112
76,-17.422991,0.221223
77,-43.127382,0.220338
78,-50.322451,0.219457
79,-23.977639,0.218579
80,-39.060284,0.217705
81,-39.578499,0.216834
82,-19.824064,0.215967
83,-20.845093,0.215103
84,-41.070928,0.214243
85,-45.168039,0.213386
86,-3.999821,0.212532
87,-31.823176,0.211682
88,-70.377030,0.210835
89,-31.524413,0.209992
90,-36.510930,0.209152
91,-2.178750,0.208315
92,-20.597424,0.207482
93,-15.799457,0.206652
94,-65.942363,0.205825
95,9.905609,0.205002
96,-19.733676,0.204182
97,-39.353391,0.203365
98,-63.827832,0.202552
99,-64.647627,0.201742
100,-37.877807,0.200935
101,-64.093582,0.200131
102,-23.309585,0.199331
103,-54.534539,0.198533
104,-51.096994,0.197739
105,-54.933227,0.196948
106,0.024054,0.196160
107,-15.001589,0.195376
108,-6.356738,0.194594
109,-33.580787,0.193816
