episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,2.0231,0.4400,0.20,0.0620,0.1300
2,1.3000,1.0000,0.40,0.0380,0.0550
3,1.0000,1.0000,0.40,0.0320,0.0400
4,1.3667,1.0000,0.60,0.0580,0.0850
5,3.0000,0.5000,0.20,0.0660,0.1450
6,0.4571,0.4400,0.20,0.0240,0.0350
7,2.2413,1.9333,1.20,0.1100,0.2050
8,3.4218,1.8472,0.80,0.1420,0.2300
9,4.5882,1.0333,0.80,0.1920,0.3850
10,1.4133,0.4400,0.20,0.0400,0.0750
11,0.7933,0.6400,0.40,0.0360,0.0550
12,2.9333,1.9667,1.00,0.1000,0.1350
13,1.1222,1.4067,1.00,0.0780,0.1000
14,0.8000,0.5000,0.20,0.0220,0.0350
15,2.6286,1.3733,0.80,0.0940,0.1600
16,2.5100,1.4400,0.60,0.0900,0.1600
17,0.9600,1.4667,1.00,0.0640,0.0550
18,0.2000,0.4400,0.20,0.0140,0.0100
19,1.8686,1.4000,0.60,0.0940,0.1250
20,1.8000,1.5000,0.60,0.0540,0.0750
21,2.1261,0.8114,0.40,0.1040,0.2000
22,0.0000,0.0000,0.00,0.0000,0.0000
23,1.9333,1.3800,0.80,0.0700,0.1050
24,3.4314,2.1667,1.40,0.1360,0.2100
25,2.3673,1.8800,1.00,0.1040,0.1500
26,1.6371,1.4400,0.80,0.0740,0.0900
27,1.0500,1.4000,0.60,0.0480,0.0500
28,1.2667,1.0000,0.60,0.0560,0.0800
29,1.4333,1.4400,0.60,0.0520,0.0650
30,2.6080,0.2000,0.40,0.0560,0.1300
31,1.8821,1.8800,0.80,0.0800,0.1100
32,0.9000,0.9333,0.40,0.0360,0.0400
33,3.2571,1.2667,1.00,0.0960,0.1650
34,1.0222,0.9400,0.60,0.0660,0.0900
35,1.0143,0.7000,0.40,0.0320,0.0550
36,0.8250,1.0000,0.60,0.0440,0.0600
37,2.0000,1.9000,0.80,0.0740,0.0950
38,1.9143,1.4000,1.00,0.0700,0.1000
39,1.7229,1.2567,0.80,0.1080,0.1600
40,1.9000,1.5000,0.60,0.0560,0.0650
41,0.9167,0.9667,0.60,0.0560,0.0750
42,0.8800,0.8400,0.40,0.0520,0.0750
43,1.9593,1.7750,1.00,0.1120,0.1500
44,3.2261,2.0000,1.80,0.1760,0.2900
45,1.9000,1.5000,0.80,0.0720,0.1000
46,1.7000,1.4400,0.60,0.0600,0.0850
47,2.3000,2.0000,0.80,0.0700,0.0950
48,1.8850,1.9571,1.20,0.0880,0.1050
49,1.6500,1.0000,0.60,0.0620,0.0950
50,1.7733,1.4600,0.80,0.0820,0.1150
51,2.2000,1.0000,0.40,0.0560,0.1000
52,1.7791,1.7800,1.20,0.1280,0.1700
53,1.8913,1.9182,1.00,0.1080,0.1800
54,2.8693,1.2214,1.00,0.1420,0.2350
55,0.7400,0.8800,0.40,0.0380,0.0450
56,2.3463,1.8000,1.00,0.1100,0.1600
57,2.4583,1.4400,0.80,0.1080,0.1800
58,2.6347,1.3167,1.20,0.1960,0.3650
59,2.4592,1.9067,1.40,0.1400,0.1750
60,2.7572,1.3124,1.40,0.1900,0.2800
61,1.8200,1.4000,0.80,0.0840,0.1200
62,1.8238,1.3733,0.60,0.0700,0.1150
63,1.0800,0.9000,0.40,0.0520,0.0750
64,2.3909,1.4571,0.80,0.0820,0.1300
65,1.6000,1.0000,0.60,0.0420,0.0600
66,2.7167,1.4000,1.00,0.1080,0.2000
67,0.0000,0.0000,0.00,0.0000,0.0000
68,2.8000,2.0000,1.00,0.0960,0.1400
69,0.9889,1.0000,0.80,0.0500,0.0650
70,1.0371,1.3556,0.80,0.0700,0.0900
71,1.4250,1.4400,0.60,0.0560,0.0750
72,1.8000,1.5000,0.60,0.0540,0.0750
73,1.5545,1.0000,0.60,0.0620,0.0950
74,2.0341,1.9067,1.00,0.0940,0.1250
75,0.4000,0.5000,0.20,0.0140,0.0150
76,2.3333,1.9400,0.80,0.0780,0.1100
77,2.5406,1.3186,1.20,0.1780,0.2950
78,1.1803,0.8775,1.20,0.1520,0.2250
79,1.7000,1.4400,0.80,0.0780,0.1100
80,2.1538,1.4400,0.60,0.0760,0.1250
81,0.9667,0.9400,0.40,0.0360,0.0450
82,2.5663,1.8733,1.00,0.1200,0.1700
83,2.2650,1.2000,0.80,0.0800,0.1300
84,2.9409,1.9250,1.20,0.1760,0.3250
85,2.0374,1.7967,1.20,0.1100,0.1650
86,5.8371,1.7514,0.80,0.1860,0.3150
87,0.7333,0.9400,0.60,0.0520,0.0450
88,2.6364,1.4333,1.00,0.1240,0.1800
89,1.3545,1.4400,0.80,0.0700,0.0900
90,2.6480,1.9400,1.00,0.1200,0.1900
91,0.5000,0.5000,0.20,0.0160,0.0200
92,3.5450,1.4667,0.80,0.1360,0.2150
93,2.9646,1.4167,1.00,0.1540,0.2650
