episode,avg_reward,noise_std
1,-34.379095,0.298800
2,-25.387541,0.297605
3,-25.682057,0.296414
4,-26.691848,0.295229
5,-28.974600,0.294048
6,-25.701614,0.292872
7,-16.870623,0.291700
8,-9.267259,0.290533
9,-12.702107,0.289371
10,-15.866430,0.288214
11,-13.426185,0.287061
12,-9.561767,0.285913
13,-10.862452,0.284769
14,-17.226615,0.283630
15,-15.923292,0.282495
16,-17.515903,0.281365
17,-15.626635,0.280240
18,-24.012172,0.279119
19,-12.044560,0.278002
20,-10.133961,0.276890
21,-9.257570,0.275783
22,-9.900779,0.274680
23,-7.842713,0.273581
24,-8.776194,0.272487
25,-5.820572,0.271397
26,-8.021836,0.270311
27,-8.794174,0.269230
28,-10.687423,0.268153
29,-11.159521,0.267080
30,-9.541110,0.266012
31,-10.523046,0.264948
32,-8.979154,0.263888
33,-11.719225,0.262833
34,-11.164756,0.261781
35,-11.045177,0.260734
36,-10.240751,0.259691
37,-11.958592,0.258653
38,-12.108652,0.257618
39,-13.804894,0.256587
40,-10.291435,0.255561
41,-11.578596,0.254539
42,-7.855623,0.253521
43,-13.436906,0.252507
44,-23.834145,0.251497
45,-27.723936,0.250491
46,-21.453986,0.249489
47,-8.662424,0.248491
48,-20.432572,0.247497
49,-19.105029,0.246507
50,-20.770137,0.245521
51,-16.000597,0.244539
52,-10.644960,0.243560
53,-11.073870,0.242586
54,-12.205143,0.241616
55,-14.788035,0.240649
56,-14.448024,0.239687
57,-12.131482,0.238728
58,-22.090260,0.237773
59,-17.998799,0.236822
60,-9.276609,0.235875
61,-8.623139,0.234931
62,-9.990374,0.233992
63,-11.640224,0.233056
64,-10.893605,0.232123
65,-9.358604,0.231195
66,-10.000525,0.230270
67,-10.528763,0.229349
68,-10.400417,0.228432
69,-11.021360,0.227518
70,-12.969693,0.226608
71,-11.572291,0.225701
72,-9.688806,0.224799
73,-9.863191,0.223899
74,-8.074957,0.223004
75,-9.160237,0.222112
76,-9.117037,0.221223
77,-9.358303,0.220338
78,-9.181274,0.219457
79,-9.171847,0.218579
80,-9.319018,0.217705
81,-7.658473,0.216834
82,-10.549715,0.215967
83,-7.252062,0.215103
84,-11.932436,0.214243
85,-11.741422,0.213386
86,-11.767616,0.212532
87,-9.383533,0.211682
88,-12.950961,0.210835
89,-14.265545,0.209992
90,-17.085015,0.209152
91,-12.046244,0.208315
92,-16.288007,0.207482
93,-8.356831,0.206652
94,-12.935308,0.205825
95,-11.525716,0.205002
96,-11.311907,0.204182
97,-9.513650,0.203365
98,-13.348916,0.202552
99,-9.856344,0.201742
100,-11.520369,0.200935
101,-9.970745,0.200131
102,-14.003456,0.199331
103,-14.530429,0.198533
104,-12.146271,0.197739
105,-13.483348,0.196948
106,-12.878138,0.196160
107,-14.337283,0.195376
108,-14.629930,0.194594
109,-8.714376,0.193816
110,-11.260167,0.193041
111,-10.935014,0.192268
112,-10.673520,0.191499
113,-9.641827,0.190733
114,-6.968985,0.189970
115,-9.086024,0.189210
116,-9.690981,0.188454
117,-11.458375,0.187700
118,-11.056768,0.186949
119,-11.047418,0.186201
120,-10.491034,0.185456
121,-6.079195,0.184715
122,-9.409995,0.183976
123,-10.020207,0.183240
124,-10.104067,0.182507
125,-10.664887,0.181777
126,-10.208054,0.181050
127,-6.527995,0.180326
128,-10.751281,0.179604
129,-11.177514,0.178886
130,-10.586381,0.178170
131,-9.511720,0.177458
132,-10.980393,0.176748
133,-9.277982,0.176041
134,-11.939360,0.175337
135,-11.606800,0.174635
136,-11.258940,0.173937
137,-7.282541,0.173241
138,-6.343445,0.172548
139,-7.470549,0.171858
140,-7.641325,0.171170
141,-5.504765,0.170486
142,-8.367749,0.169804
143,-8.868228,0.169125
144,-6.753544,0.168448
145,-6.144490,0.167774
