episode,avg_reward,noise_std
1,-203.210459,0.298800
2,-204.891029,0.297605
3,-175.121010,0.296414
4,-157.164016,0.295229
5,-178.091664,0.294048
6,-106.118660,0.292872
7,-46.093389,0.291700
8,-43.952405,0.290533
9,-17.437534,0.289371
10,-108.056494,0.288214
11,3.202218,0.287061
12,-41.026422,0.285913
13,-33.400865,0.284769
14,-15.357907,0.283630
15,-17.454542,0.282495
16,-3.183692,0.281365
17,-33.741588,0.280240
18,-14.595681,0.279119
19,-24.648497,0.278002
20,-44.155480,0.276890
21,-11.038195,0.275783
22,-48.415942,0.274680
23,-53.842117,0.273581
24,-35.568252,0.272487
25,-45.742660,0.271397
26,-40.298073,0.270311
27,-48.545467,0.269230
28,-49.063788,0.268153
29,-38.093943,0.267080
30,-30.382048,0.266012
31,-30.807356,0.264948
32,-40.005013,0.263888
33,-33.096896,0.262833
34,-46.707977,0.261781
35,-48.254338,0.260734
36,-30.773820,0.259691
37,-33.192252,0.258653
38,-44.757051,0.257618
39,-27.846064,0.256587
40,-39.196010,0.255561
41,-55.054836,0.254539
42,-33.405114,0.253521
43,-46.528301,0.252507
44,-20.642444,0.251497
45,-41.922163,0.250491
46,-26.571110,0.249489
47,-31.789257,0.248491
48,-24.471202,0.247497
49,-29.000406,0.246507
50,-46.517343,0.245521
51,-32.432513,0.244539
52,-35.425528,0.243560
53,-46.607222,0.242586
54,-62.047061,0.241616
55,-35.110992,0.240649
56,-57.486442,0.239687
57,-41.366883,0.238728
58,-44.028739,0.237773
59,-39.388429,0.236822
60,-50.053919,0.235875
61,-51.044724,0.234931
62,-31.773314,0.233992
63,-35.635758,0.233056
64,-48.917762,0.232123
65,-56.996871,0.231195
66,-55.674409,0.230270
67,-36.479753,0.229349
68,-31.465150,0.228432
69,-31.400250,0.227518
70,-10.893172,0.226608
71,-14.984882,0.225701
72,-61.851510,0.224799
73,-47.869284,0.223899
74,-83.703384,0.223004
75,-28.313380,0.222112
76,-16.537567,0.221223
77,-44.410878,0.220338
78,-26.607471,0.219457
79,-53.014351,0.218579
80,-23.277025,0.217705
81,-12.800188,0.216834
82,-63.650242,0.215967
83,-41.487772,0.215103
84,-14.413251,0.214243
85,-34.891417,0.213386
86,-16.760081,0.212532
87,-45.702700,0.211682
88,-49.423077,0.210835
89,-23.972375,0.209992
90,-76.196557,0.209152
91,-16.169761,0.208315
92,-35.184445,0.207482
93,-33.074303,0.206652
94,-18.456158,0.205825
95,-17.426221,0.205002
96,-39.114986,0.204182
97,-4.801264,0.203365
98,-0.348832,0.202552
99,-17.913327,0.201742
100,-17.108062,0.200935
101,-4.082630,0.200131
102,-14.420862,0.199331
103,-26.429397,0.198533
104,2.331071,0.197739
105,-34.044357,0.196948
106,-32.296562,0.196160
107,-34.604258,0.195376
108,-0.156971,0.194594
109,-37.531341,0.193816
110,-17.275469,0.193041
111,-32.530069,0.192268
112,-33.516574,0.191499
113,-23.746297,0.190733
114,-19.004663,0.189970
115,9.365689,0.189210
116,-15.045757,0.188454
117,6.397357,0.187700
118,-22.535447,0.186949
119,-17.774004,0.186201
120,-13.064693,0.185456
121,-55.794138,0.184715
122,-27.577694,0.183976
123,-43.999124,0.183240
124,-25.618011,0.182507
125,-22.493217,0.181777
126,-10.987416,0.181050
127,-26.721940,0.180326
128,4.830928,0.179604
129,-34.034189,0.178886
130,-32.407957,0.178170
131,-12.650663,0.177458
132,-13.889473,0.176748
133,-6.230214,0.176041
134,-15.671200,0.175337
135,-15.283901,0.174635
136,-26.857058,0.173937
137,-29.407874,0.173241
138,-31.572658,0.172548
139,-29.516281,0.171858
140,-62.260656,0.171170
141,-27.436246,0.170486
142,-21.077361,0.169804
143,-7.303354,0.169125
144,-26.403289,0.168448
145,-56.820622,0.167774
146,-59.391778,0.167103
147,-35.788964,0.166435
148,-11.847595,0.165769
149,-22.603853,0.165106
150,-32.969042,0.164446
151,-28.088838,0.163788
152,-33.145321,0.163133
153,-32.790758,0.162480
154,-28.285142,0.161830
155,-47.188222,0.161183
156,-21.348001,0.160538
157,-43.590053,0.159896
158,-34.535554,0.159256
159,-20.524998,0.158619
160,-64.650726,0.157985
161,-18.106233,0.157353
162,-9.694942,0.156723
163,-28.051370,0.156097
164,-30.965917,0.155472
165,-46.771918,0.154850
166,-22.198667,0.154231
167,-28.394065,0.153614
168,-1.172886,0.153000
169,-29.482917,0.152388
170,-39.991023,0.151778
171,1.534374,0.151171
172,-12.491607,0.150566
173,1.313886,0.149964
174,-25.147380,0.149364
175,-38.505095,0.148767
176,-11.830015,0.148172
177,-5.191324,0.147579
178,-35.257883,0.146989
179,-31.273994,0.146401
180,-40.609087,0.145815
181,-37.221617,0.145232
182,-12.686510,0.144651
183,-2.524790,0.144072
184,-19.356244,0.143496
185,-19.351713,0.142922
186,-14.751349,0.142350
187,-43.507771,0.141781
188,-19.744143,0.141214
189,-19.775067,0.140649
190,-12.590452,0.140086
191,-4.282948,0.139526
192,-24.442551,0.138968
193,-9.859795,0.138412
194,-55.966043,0.137858
195,-18.295207,0.137307
196,-28.983879,0.136758
197,-6.206423,0.136211
198,-45.607733,0.135666
199,-30.426431,0.135123
200,-17.565172,0.134583
201,-15.064919,0.134044
202,-35.967325,0.133508
203,-5.030732,0.132974
204,-30.547653,0.132442
205,-25.387960,0.131912
206,-11.674060,0.131385
207,-20.718544,0.130859
208,9.799160,0.130336
209,-16.434427,0.129814
210,2.016686,0.129295
211,-8.877651,0.128778
212,-12.523374,0.128263
213,-25.842066,0.127750
214,-33.473869,0.127239
215,-7.801663,0.126730
216,-19.775499,0.126223
217,-32.702057,0.125718
218,-2.375353,0.125215
219,-22.482954,0.124714
220,-31.715174,0.124215
221,-23.142813,0.123719
222,-36.628562,0.123224
223,-14.448992,0.122731
224,-13.684971,0.122240
225,-24.792160,0.121751
226,-26.196817,0.121264
227,-10.912597,0.120779
228,-25.091736,0.120296
229,-15.900722,0.119815
230,-24.180354,0.119335
231,-16.612240,0.118858
232,-4.312691,0.118383
233,-19.214175,0.117909
234,-18.650862,0.117437
235,-25.964141,0.116968
236,-1.715089,0.116500
237,-26.149480,0.116034
238,-1.947153,0.115570
239,-3.183228,0.115107
240,-4.415977,0.114647
241,-18.288968,0.114188
242,-22.690978,0.113732
243,-16.880643,0.113277
244,-22.131483,0.112824
245,-10.751805,0.112372
246,-29.277058,0.111923
247,-31.575069,0.111475
248,-56.992179,0.111029
249,-28.358251,0.110585
250,-13.757601,0.110143
251,-29.165832,0.109702
252,-29.578809,0.109263
253,-52.202523,0.108826
254,-59.633581,0.108391
255,-15.365723,0.107957
256,-19.583797,0.107526
257,-52.329047,0.107096
258,-54.175933,0.106667
259,-23.098056,0.106240
260,2.723145,0.105815
261,-19.391086,0.105392
262,-26.935145,0.104971
263,-31.074355,0.104551
264,-26.749207,0.104133
265,-25.464113,0.103716
266,-48.233292,0.103301
267,-47.432023,0.102888
268,-19.915134,0.102476
269,-45.052064,0.102067
270,-7.678741,0.101658
271,-56.417008,0.101252
272,-41.049868,0.100847
273,-31.231507,0.100443
274,-40.003658,0.100041
275,-34.776294,0.099641
276,-10.676664,0.099243
277,-12.209982,0.098846
278,-33.597495,0.098450
279,0.114876,0.098057
280,-29.302102,0.097664
281,-43.183770,0.097274
282,-2.848165,0.096885
283,-51.669255,0.096497
284,-25.856351,0.096111
285,-29.319985,0.095727
286,-10.060656,0.095344
287,-30.694667,0.094962
288,-15.461717,0.094582
289,-10.895728,0.094204
290,-71.157164,0.093827
291,-10.986552,0.093452
292,-26.773282,0.093078
293,-29.423167,0.092706
294,-37.920119,0.092335
295,-22.884591,0.091966
296,-54.846662,0.091598
297,-68.275357,0.091231
298,-28.478105,0.090867
299,-31.777834,0.090503
300,-13.562476,0.090141
301,-46.161247,0.089781
302,-2.686063,0.089421
303,-35.605756,0.089064
304,-7.913569,0.088707
305,-40.675305,0.088353
306,-20.276613,0.087999
307,-31.155065,0.087647
308,-41.942539,0.087297
309,-23.107145,0.086947
310,-37.884027,0.086600
311,-44.968265,0.086253
312,-21.853140,0.085908
313,-9.644335,0.085565
314,-13.590422,0.085222
315,-32.942816,0.084881
316,-27.264965,0.084542
317,-16.898437,0.084204
318,-41.366488,0.083867
319,4.408198,0.083531
320,-25.595506,0.083197
321,-10.904628,0.082865
