episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
159,0.372000,2.400000,6,0.130000,0.205000,-0.032542,0.001270,-0.034373,-0.032572,0.000000,-0.135578,-0.233796
160,0.906000,2.390000,8,0.206000,0.345000,-0.026450,0.002211,-0.099376,-0.033510,-0.005942,-0.391508,-0.554573
161,0.186000,2.560000,4,0.096000,0.140000,-0.013863,0.001984,0.204987,-0.032612,0.000000,-0.134310,0.026186
162,0.238000,2.080000,4,0.088000,0.140000,-0.073688,0.003850,0.026994,-0.032125,0.000000,-0.201284,-0.276253
163,0.470000,3.430000,7,0.142000,0.220000,-0.221767,0.002605,-0.020752,-0.031914,0.000000,-0.167988,-0.439816
164,0.132000,2.120000,3,0.060000,0.090000,-0.056121,0.001498,-0.048999,-0.035021,0.000000,-0.124095,-0.262738
165,0.266000,1.350000,5,0.104000,0.160000,-0.032095,0.004283,0.003698,-0.029265,0.000000,-0.508683,-0.562061
166,0.286000,1.370000,5,0.110000,0.170000,-0.108188,0.003223,-0.066333,-0.031955,0.000000,-0.164582,-0.367835
167,0.114000,2.250000,3,0.058000,0.085000,-0.127708,0.003234,-0.079823,-0.031382,0.000000,-0.177538,-0.413218
168,0.124000,0.960000,4,0.070000,0.095000,-0.041819,0.004360,-0.091664,-0.026722,0.000000,-0.244337,-0.400182
169,0.296000,1.430000,4,0.086000,0.135000,-0.207596,0.002292,-0.017541,-0.030768,-0.006687,-0.184498,-0.444797
170,0.184000,2.860000,5,0.094000,0.135000,-0.121980,0.002026,0.078914,-0.028203,0.000000,-0.267407,-0.336650
171,0.886000,1.260000,4,0.128000,0.240000,-0.002726,0.004824,0.081904,-0.030834,0.000000,-0.159289,-0.106120
172,0.446000,2.170000,7,0.138000,0.225000,-0.305864,0.003995,-0.008019,-0.028347,0.000000,-0.179197,-0.517432
173,0.120000,0.800000,3,0.048000,0.080000,-0.089249,0.003974,-0.017273,-0.028696,0.000000,-0.227067,-0.358312
174,0.610000,1.880000,5,0.126000,0.230000,-0.187376,0.003063,0.134421,-0.030666,0.000000,-0.174954,-0.255511
175,0.298000,1.850000,5,0.106000,0.160000,0.000000,0.001777,-0.053647,-0.030062,0.000000,-0.362361,-0.444292
176,0.188000,0.790000,2,0.038000,0.075000,-0.181736,0.004545,-0.004478,-0.029101,0.000000,-0.275753,-0.486523
177,0.158000,2.080000,5,0.088000,0.120000,-0.240399,0.005044,-0.049929,-0.030542,0.000000,-0.159995,-0.475822
178,0.460000,1.680000,8,0.166000,0.250000,-0.184858,0.002897,-0.032723,-0.030092,0.000000,-0.268694,-0.513470
179,0.326000,1.950000,4,0.096000,0.160000,-0.123615,0.006134,-0.038212,-0.035124,0.000000,-0.343812,-0.534629
180,0.610000,2.240000,6,0.156000,0.240000,-0.030294,0.001000,-0.006631,-0.029058,0.000000,-0.445488,-0.510472
181,0.254000,1.310000,5,0.100000,0.150000,-0.012095,0.002388,0.124798,-0.028403,0.000000,-0.589653,-0.502963
182,0.458000,1.520000,4,0.110000,0.195000,-0.057454,0.002072,-0.051413,-0.031077,0.000000,-0.269668,-0.407540
183,0.098000,0.486000,3,0.050000,0.075000,-0.021972,0.004510,-0.017664,-0.033813,0.000000,-0.135973,-0.204913
184,0.232000,2.930000,6,0.094000,0.155000,-0.007240,0.002469,-0.012882,-0.035315,-0.000101,-0.136330,-0.189399
185,0.128000,3.060000,4,0.070000,0.095000,-0.186446,0.004551,-0.031635,-0.034420,0.000000,-0.130624,-0.378574
186,0.308000,1.970000,5,0.112000,0.180000,-0.023997,0.002352,-0.067839,-0.037113,0.000000,-0.099062,-0.225659
187,0.424000,2.650000,7,0.144000,0.215000,-0.274521,0.002126,-0.091120,-0.030640,0.000000,-0.252083,-0.646236
188,0.676000,2.250000,6,0.164000,0.255000,-0.105765,0.001188,-0.044265,-0.033563,0.000000,-0.167221,-0.349626
189,0.402000,1.860000,4,0.098000,0.170000,-0.183579,0.003657,0.105207,-0.029929,0.000000,-0.245377,-0.350022
190,0.156000,1.380000,3,0.062000,0.095000,-0.063276,0.002781,-0.058259,-0.034474,0.000000,-0.099704,-0.252931
191,0.174000,1.720000,5,0.090000,0.125000,0.000000,0.003316,-0.047413,-0.036349,0.000000,-0.153717,-0.234163
192,0.454000,1.840000,4,0.112000,0.200000,-0.036331,0.001606,0.083359,-0.035953,0.000000,-0.180680,-0.168000
193,0.584000,1.306000,3,0.106000,0.195000,-0.094782,0.003436,-0.017297,-0.028938,0.000000,-0.179695,-0.317275
194,0.356000,2.610000,5,0.116000,0.190000,-0.054058,0.001862,-0.017656,-0.028334,0.000000,-0.592803,-0.690989
195,0.800000,1.340000,4,0.122000,0.245000,-0.140399,0.002460,0.095852,-0.036429,0.000000,-0.203630,-0.282146
196,0.512000,1.950000,3,0.092000,0.170000,-0.047406,0.002628,-0.068433,-0.028519,0.000000,-0.239285,-0.381014
197,0.074000,1.620000,3,0.048000,0.060000,-0.192274,0.004726,-0.016878,-0.035408,0.000000,-0.108511,-0.348344
198,0.122000,2.310000,3,0.054000,0.075000,-0.135585,0.003320,-0.050355,-0.030028,0.000000,-0.364641,-0.577288
199,0.222000,1.600000,4,0.086000,0.135000,-0.025464,0.000705,-0.059977,-0.033538,0.000000,-0.265277,-0.383551
200,0.372000,0.840000,3,0.084000,0.120000,-0.002420,0.004773,0.022983,-0.034274,0.000000,-0.240791,-0.249729
201,0.362000,1.820000,7,0.144000,0.210000,-0.032157,0.002922,-0.010882,-0.038155,0.000000,-0.120200,-0.198471
202,0.612000,2.166000,6,0.156000,0.245000,-0.094925,0.002722,0.010425,-0.034265,0.000000,-0.183097,-0.299139
203,0.250000,1.872000,4,0.100000,0.155000,-0.094295,0.003784,0.003646,-0.033051,0.000000,-0.143053,-0.262969
204,0.240000,1.640000,3,0.072000,0.120000,-0.096734,0.002694,-0.035712,-0.035265,0.000000,-0.179137,-0.344153
205,0.374000,2.180000,5,0.120000,0.200000,-0.089069,0.002076,0.047861,-0.039092,0.000000,-0.132231,-0.210454
206,0.916000,0.980000,4,0.116000,0.230000,-0.175756,0.004344,-0.064965,-0.035795,0.000000,-0.140365,-0.412537
207,0.194000,2.340000,4,0.080000,0.120000,-0.202461,0.003449,-0.032918,-0.034342,0.000000,-0.120642,-0.386914
208,0.174000,1.110000,3,0.066000,0.105000,-0.057645,0.005792,0.024283,-0.036483,0.000000,-0.221498,-0.285551
209,0.506000,2.370000,5,0.130000,0.225000,-0.050041,0.003622,-0.052110,-0.036229,0.000000,-0.183704,-0.318463
210,0.418000,2.360000,4,0.106000,0.155000,-0.062368,0.004792,-0.012934,-0.035535,0.000000,-0.103393,-0.209438
211,0.414000,2.140000,4,0.102000,0.175000,-0.030932,0.002875,-0.056300,-0.034156,0.000000,-0.132766,-0.251279
212,0.598000,2.120000,9,0.198000,0.255000,-0.054322,0.003055,-0.083200,-0.036906,0.000000,-0.209063,-0.380437
213,0.420000,2.290000,3,0.090000,0.165000,-0.131502,0.003227,-0.021034,-0.032338,0.000000,-0.187339,-0.368986
214,0.420000,1.840000,4,0.102000,0.165000,-0.030206,0.004028,-0.073391,-0.030997,0.000000,-0.284828,-0.415394
215,0.212000,1.020000,2,0.052000,0.090000,-0.013069,0.002865,0.067455,-0.035225,0.000000,-0.184052,-0.162026
216,0.356000,2.460000,5,0.118000,0.195000,-0.030895,0.002044,0.047221,-0.037132,0.000000,-0.199197,-0.217959
217,0.124000,2.290000,4,0.072000,0.100000,-0.168650,0.002670,-0.070752,-0.036688,0.000000,-0.151316,-0.424736
218,0.112000,0.750000,4,0.058000,0.085000,-0.004765,0.004577,-0.020228,-0.036009,0.000000,-0.199375,-0.255800
219,0.278000,2.250000,4,0.094000,0.155000,-0.103388,0.002027,-0.046306,-0.040521,0.000000,-0.088306,-0.276493
220,0.988000,2.280000,9,0.236000,0.345000,-0.107036,0.002577,-0.005771,-0.035951,0.000000,-0.175678,-0.321859
221,0.560000,2.806000,4,0.126000,0.225000,-0.181226,0.003054,-0.069713,-0.029232,0.000000,-0.229840,-0.506957
222,0.592000,1.890000,5,0.122000,0.200000,0.000000,0.003541,-0.061801,-0.033616,0.000000,-0.302357,-0.394234
223,0.212000,1.660000,2,0.054000,0.095000,-0.170700,0.004147,-0.015703,-0.036157,0.000000,-0.137469,-0.355882
224,0.110000,0.920000,2,0.042000,0.065000,-0.033901,0.004645,-0.004146,-0.033685,0.000000,-0.243683,-0.310769
225,0.878000,1.940000,5,0.122000,0.245000,-0.046904,0.001118,-0.082399,-0.042095,0.000000,-0.049564,-0.219844
226,0.404000,1.352000,4,0.098000,0.180000,-0.177413,0.002909,-0.093899,-0.037369,0.000000,-0.131242,-0.437015
227,0.450000,2.440000,6,0.142000,0.235000,-0.088018,0.004030,-0.017699,-0.035492,0.000000,-0.231472,-0.368651
228,0.606000,1.480000,5,0.132000,0.275000,-0.020924,0.002606,-0.081183,-0.034566,0.000000,-0.185051,-0.319118
229,0.288000,1.630000,2,0.062000,0.115000,-0.039004,0.001290,-0.028743,-0.036389,0.000000,-0.116276,-0.219121
230,0.062000,1.720000,3,0.040000,0.060000,-0.100249,0.003918,-0.035581,-0.029122,0.000000,-0.241060,-0.402094
231,0.270000,1.336000,4,0.094000,0.205000,-0.148080,0.003983,0.020848,-0.034945,0.000000,-0.150155,-0.308349
232,0.188000,0.730000,2,0.052000,0.090000,-0.110495,0.004405,-0.018069,-0.035512,0.000000,-0.144165,-0.303836
233,0.408000,1.880000,3,0.088000,0.160000,-0.128535,0.001004,-0.038611,-0.039147,0.000000,-0.079470,-0.284759
234,0.454000,1.520000,5,0.102000,0.185000,-0.132649,0.003143,-0.060541,-0.037445,0.000000,-0.059518,-0.287011
235,0.206000,2.320000,4,0.082000,0.125000,-0.039482,0.002852,-0.067360,-0.035662,0.000000,-0.272848,-0.412500
236,0.150000,2.030000,4,0.068000,0.090000,-0.073994,0.004281,0.026373,-0.040520,0.000000,-0.058031,-0.141891
237,0.332000,2.700000,7,0.134000,0.180000,-0.096508,0.002550,-0.025868,-0.039851,0.000000,-0.092048,-0.251725
238,0.218000,0.890000,3,0.072000,0.110000,-0.003483,0.004284,-0.007555,-0.039232,0.000000,-0.074612,-0.120598
239,0.450000,2.280000,5,0.128000,0.195000,-0.147391,0.004242,-0.042704,-0.041739,0.000000,-0.049575,-0.277167
