episode,avg_reward,noise_std
1,-8.439023,0.298800
2,3.514241,0.297605
3,4.247243,0.296414
4,4.607047,0.295229
5,5.184132,0.294048
6,3.886008,0.292872
7,0.901625,0.291700
8,0.259878,0.290533
9,-1.146418,0.289371
10,1.102551,0.288214
11,-0.160256,0.287061
12,0.028539,0.285913
13,0.798436,0.284769
14,-1.863311,0.283630
15,-0.075031,0.282495
16,-0.461908,0.281365
17,2.787878,0.280240
18,-0.023176,0.279119
19,0.289446,0.278002
20,-0.500474,0.276890
21,0.188578,0.275783
22,0.142395,0.274680
23,0.203803,0.273581
24,0.211365,0.272487
25,0.817465,0.271397
26,0.042624,0.270311
27,2.033678,0.269230
28,2.899385,0.268153
29,2.397274,0.267080
30,3.487493,0.266012
31,1.966644,0.264948
32,2.119823,0.263888
33,3.342246,0.262833
34,2.718921,0.261781
35,0.241384,0.260734
36,-0.270306,0.259691
37,-0.905779,0.258653
38,2.645930,0.257618
39,1.060713,0.256587
40,0.743702,0.255561
41,1.594512,0.254539
42,1.936037,0.253521
43,1.714034,0.252507
44,2.972415,0.251497
45,0.138678,0.250491
46,-2.336296,0.249489
47,-2.050075,0.248491
48,1.837372,0.247497
49,0.690540,0.246507
50,0.121045,0.245521
51,2.003108,0.244539
52,-1.241550,0.243560
53,0.605746,0.242586
54,0.869850,0.241616
55,3.819363,0.240649
56,-1.899810,0.239687
57,-0.671968,0.238728
58,2.224369,0.237773
59,0.143393,0.236822
60,6.592497,0.235875
61,-0.720084,0.234931
62,-0.563103,0.233992
63,7.201085,0.233056
64,1.886666,0.232123
65,2.543570,0.231195
66,-0.912958,0.230270
67,-0.697616,0.229349
68,-0.321371,0.228432
69,-0.766931,0.227518
70,2.439965,0.226608
71,2.677026,0.225701
72,0.584764,0.224799
73,7.730581,0.223899
74,11.095461,0.223004
75,10.148067,0.222112
76,3.646238,0.221223
77,8.911827,0.220338
78,0.712599,0.219457
79,12.901711,0.218579
80,7.052456,0.217705
81,7.659088,0.216834
82,7.528057,0.215967
83,7.561865,0.215103
84,8.090624,0.214243
85,4.601570,0.213386
86,1.012270,0.212532
87,6.862728,0.211682
88,8.440948,0.210835
89,10.164501,0.209992
90,-0.214496,0.209152
91,6.487437,0.208315
92,8.382983,0.207482
93,3.768507,0.206652
94,2.797586,0.205825
95,9.300892,0.205002
96,0.217313,0.204182
97,5.050260,0.203365
98,-1.432941,0.202552
99,0.198408,0.201742
100,0.015658,0.200935
101,1.419209,0.200131
102,7.994353,0.199331
103,2.561546,0.198533
104,-0.753333,0.197739
105,0.102108,0.196948
106,0.701932,0.196160
107,3.122307,0.195376
108,-0.777783,0.194594
109,2.915137,0.193816
110,2.843181,0.193041
111,4.542644,0.192268
112,4.325084,0.191499
113,4.600578,0.190733
114,1.913218,0.189970
115,0.167471,0.189210
116,2.511782,0.188454
117,5.435198,0.187700
118,2.695177,0.186949
119,-1.136005,0.186201
120,-0.179013,0.185456
121,2.823492,0.184715
122,0.519126,0.183976
123,-0.802889,0.183240
124,0.409653,0.182507
125,1.323389,0.181777
126,4.181853,0.181050
127,2.820441,0.180326
128,8.153096,0.179604
129,-0.616664,0.178886
130,3.702260,0.178170
131,1.955436,0.177458
132,8.570220,0.176748
133,4.920537,0.176041
134,6.517711,0.175337
135,6.261001,0.174635
136,6.605585,0.173937
137,3.347824,0.173241
138,1.387451,0.172548
139,-0.133017,0.171858
140,1.191484,0.171170
141,2.091436,0.170486
142,1.901160,0.169804
143,2.700982,0.169125
144,2.516031,0.168448
145,1.481298,0.167774
146,2.752306,0.167103
147,0.590289,0.166435
148,0.711692,0.165769
149,1.055515,0.165106
150,0.991218,0.164446
151,2.022155,0.163788
152,2.647553,0.163133
153,4.449304,0.162480
154,2.213284,0.161830
155,4.162907,0.161183
156,4.304723,0.160538
157,3.377307,0.159896
158,5.536713,0.159256
159,5.329262,0.158619
160,4.823156,0.157985
161,1.574129,0.157353
162,4.104403,0.156723
163,2.348252,0.156097
164,1.778455,0.155472
165,5.048793,0.154850
166,1.565478,0.154231
167,3.788738,0.153614
168,2.976972,0.153000
169,2.044184,0.152388
170,1.644335,0.151778
171,4.225334,0.151171
172,2.606863,0.150566
173,3.485568,0.149964
174,2.827856,0.149364
175,1.517812,0.148767
176,4.827540,0.148172
177,2.624690,0.147579
178,2.236117,0.146989
179,6.694528,0.146401
180,3.126692,0.145815
181,2.493821,0.145232
182,5.703106,0.144651
183,3.885358,0.144072
184,0.482965,0.143496
185,4.127020,0.142922
186,2.817356,0.142350
187,8.663487,0.141781
188,6.562600,0.141214
189,4.655902,0.140649
190,6.892695,0.140086
191,3.207557,0.139526
192,8.845790,0.138968
193,9.352061,0.138412
194,6.097594,0.137858
195,4.518972,0.137307
196,10.884626,0.136758
197,2.588633,0.136211
198,7.310392,0.135666
199,10.789303,0.135123
200,7.440573,0.134583
201,5.549572,0.134044
202,6.515017,0.133508
203,6.729328,0.132974
204,4.446258,0.132442
205,3.360631,0.131912
206,2.488630,0.131385
207,3.168677,0.130859
208,4.828839,0.130336
209,2.737376,0.129814
210,3.639868,0.129295
211,0.576517,0.128778
212,3.967869,0.128263
213,2.692548,0.127750
214,3.502620,0.127239
215,2.972513,0.126730
216,1.948765,0.126223
217,2.171129,0.125718
218,4.435883,0.125215
219,2.536124,0.124714
220,2.959952,0.124215
221,1.094304,0.123719
222,7.421152,0.123224
223,7.143064,0.122731
224,5.897249,0.122240
225,6.738630,0.121751
226,8.993805,0.121264
