episode,avg_reward,noise_std
1,-9.004773,0.298800
2,3.417551,0.297605
3,6.105637,0.296414
4,4.532329,0.295229
5,4.740401,0.294048
6,2.522098,0.292872
7,0.654614,0.291700
8,0.892463,0.290533
9,-1.958715,0.289371
10,1.845111,0.288214
11,-0.683163,0.287061
12,-0.618201,0.285913
13,5.211250,0.284769
14,2.400030,0.283630
15,-1.698246,0.282495
16,1.153382,0.281365
17,0.388517,0.280240
18,3.133650,0.279119
19,1.833368,0.278002
20,2.106158,0.276890
21,5.517008,0.275783
22,5.373774,0.274680
23,2.434006,0.273581
24,2.611601,0.272487
25,8.596959,0.271397
26,-0.500109,0.270311
27,-0.478260,0.269230
28,1.338659,0.268153
29,5.178148,0.267080
30,2.003517,0.266012
31,1.445696,0.264948
32,1.222821,0.263888
33,2.930823,0.262833
34,1.803797,0.261781
35,0.207183,0.260734
36,0.608841,0.259691
37,1.183095,0.258653
38,2.062995,0.257618
39,2.612210,0.256587
40,-1.064769,0.255561
41,1.028842,0.254539
42,2.077301,0.253521
43,-0.811995,0.252507
44,3.391444,0.251497
45,-1.798250,0.250491
46,1.335327,0.249489
47,-1.671247,0.248491
48,-2.011604,0.247497
49,2.848465,0.246507
50,-0.337768,0.245521
51,3.598510,0.244539
52,2.499200,0.243560
53,1.120510,0.242586
54,-0.059019,0.241616
55,1.843280,0.240649
56,7.493517,0.239687
57,2.828433,0.238728
58,4.971017,0.237773
59,9.221878,0.236822
60,4.615704,0.235875
61,2.381811,0.234931
62,3.920321,0.233992
63,5.916742,0.233056
64,4.435337,0.232123
65,4.082493,0.231195
66,1.264117,0.230270
67,3.707931,0.229349
68,7.126345,0.228432
69,7.141443,0.227518
70,8.062202,0.226608
71,-0.397000,0.225701
72,2.427481,0.224799
73,4.472557,0.223899
74,1.629395,0.223004
75,2.629999,0.222112
76,3.619455,0.221223
77,2.017491,0.220338
78,3.878621,0.219457
79,4.086249,0.218579
80,4.758402,0.217705
81,1.212970,0.216834
82,4.157965,0.215967
83,2.271161,0.215103
84,3.769362,0.214243
85,3.362644,0.213386
86,6.639205,0.212532
87,2.914616,0.211682
88,4.007408,0.210835
89,5.019849,0.209992
90,6.163042,0.209152
91,5.395642,0.208315
92,4.397950,0.207482
93,7.318668,0.206652
94,10.247760,0.205825
95,8.545085,0.205002
96,10.146950,0.204182
97,6.970616,0.203365
98,9.528108,0.202552
99,9.871432,0.201742
100,7.894593,0.200935
101,8.528787,0.200131
102,9.868707,0.199331
103,7.785766,0.198533
104,13.439973,0.197739
105,1.274360,0.196948
106,6.131094,0.196160
107,7.682832,0.195376
108,5.727508,0.194594
109,9.404752,0.193816
110,6.250647,0.193041
111,5.987560,0.192268
112,6.292577,0.191499
113,5.664117,0.190733
114,2.981544,0.189970
115,14.016392,0.189210
116,7.253562,0.188454
117,6.932102,0.187700
118,6.613011,0.186949
119,1.323254,0.186201
120,8.166440,0.185456
121,3.521658,0.184715
122,5.768694,0.183976
123,10.838544,0.183240
124,2.765259,0.182507
125,13.408878,0.181777
126,0.480848,0.181050
127,0.774981,0.180326
128,-0.397547,0.179604
129,0.348486,0.178886
130,0.162501,0.178170
131,0.268352,0.177458
132,0.564733,0.176748
133,13.334064,0.176041
134,11.372362,0.175337
135,4.743834,0.174635
136,4.464438,0.173937
137,-0.259765,0.173241
138,1.676697,0.172548
139,1.823094,0.171858
140,0.288159,0.171170
141,9.466956,0.170486
142,14.740198,0.169804
143,17.107756,0.169125
144,6.131204,0.168448
145,7.168906,0.167774
146,3.028542,0.167103
147,8.908147,0.166435
148,10.538732,0.165769
149,7.257195,0.165106
150,3.185817,0.164446
151,9.323502,0.163788
