episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
132,0.344000,1.520000,6,0.136000,0.200000
133,0.300000,1.902000,4,0.100000,0.165000
134,0.630000,1.714000,4,0.138000,0.255000
135,0.056000,0.810000,1,0.022000,0.035000
136,0.152000,2.084000,3,0.074000,0.115000
137,0.122000,1.500000,2,0.042000,0.065000
138,0.160000,1.512000,4,0.062000,0.105000
139,0.088000,0.802000,2,0.036000,0.065000
140,0.000000,0.000000,0,0.000000,0.000000
141,0.152000,1.472000,3,0.064000,0.095000
142,0.168000,1.502000,2,0.056000,0.095000
143,0.048000,0.812000,2,0.030000,0.050000
144,0.346000,2.128000,4,0.112000,0.190000
145,0.726000,1.096000,3,0.130000,0.250000
146,0.340000,2.694000,4,0.116000,0.180000
147,0.042000,1.630000,2,0.032000,0.040000
148,0.132000,1.480000,2,0.046000,0.075000
149,0.496000,1.714000,3,0.112000,0.205000
150,0.656000,1.662000,6,0.178000,0.315000
151,0.354000,2.002000,5,0.110000,0.190000
152,0.220000,1.218000,2,0.100000,0.170000
153,0.166000,2.054000,5,0.098000,0.135000
154,0.256000,1.958000,4,0.110000,0.175000
155,0.074000,2.202000,3,0.054000,0.070000
156,0.238000,1.416000,3,0.074000,0.150000
157,0.128000,1.490000,2,0.046000,0.075000
158,0.378000,2.300000,4,0.144000,0.255000
159,0.112000,1.750000,3,0.056000,0.080000
160,0.358000,1.432000,6,0.126000,0.210000
161,0.684000,1.732000,5,0.190000,0.290000
162,0.050000,2.282000,3,0.048000,0.045000
163,0.188000,2.222000,3,0.076000,0.125000
164,0.102000,0.940000,2,0.042000,0.065000
165,0.264000,1.986000,6,0.122000,0.190000
166,0.062000,0.992000,2,0.042000,0.060000
167,0.200000,2.164000,3,0.080000,0.125000
168,0.110000,1.590000,2,0.042000,0.065000
169,0.048000,1.526000,2,0.046000,0.065000
170,0.000000,0.000000,0,0.000000,0.000000
171,0.482000,1.522000,3,0.090000,0.160000
172,0.106000,1.384000,2,0.052000,0.080000
173,0.144000,1.310000,2,0.074000,0.105000
174,0.182000,1.874000,3,0.072000,0.110000
175,0.162000,1.654000,3,0.072000,0.110000
176,0.742000,0.844000,3,0.100000,0.250000
177,0.250000,2.250000,6,0.128000,0.180000
178,0.144000,1.470000,2,0.048000,0.080000
179,0.086000,1.620000,2,0.040000,0.060000
180,0.104000,2.070000,3,0.050000,0.065000
181,0.134000,1.502000,2,0.050000,0.080000
182,0.068000,1.546000,3,0.052000,0.075000
183,0.046000,1.642000,2,0.034000,0.040000
184,0.062000,0.050000,2,0.026000,0.045000
185,0.502000,1.014000,2,0.100000,0.200000
186,0.096000,1.924000,3,0.062000,0.085000
187,0.278000,2.134000,3,0.086000,0.145000
188,0.102000,0.900000,2,0.040000,0.060000
189,0.188000,0.920000,2,0.052000,0.090000
190,0.068000,1.536000,3,0.062000,0.080000
191,0.080000,1.584000,3,0.060000,0.110000
192,0.118000,1.806000,3,0.068000,0.095000
193,0.056000,0.820000,1,0.022000,0.035000
194,0.112000,1.504000,3,0.068000,0.100000
195,0.056000,0.820000,1,0.022000,0.035000
196,0.076000,1.374000,2,0.050000,0.075000
197,0.056000,1.622000,2,0.040000,0.055000
198,0.400000,1.588000,4,0.126000,0.215000
199,0.072000,0.700000,1,0.024000,0.040000
200,0.114000,1.440000,2,0.044000,0.070000
201,0.096000,1.570000,3,0.052000,0.070000
202,0.212000,1.472000,4,0.090000,0.140000
203,0.174000,1.500000,3,0.066000,0.105000
204,0.150000,1.542000,2,0.054000,0.115000
205,0.098000,1.552000,3,0.058000,0.080000
206,0.032000,1.600000,3,0.044000,0.060000
207,0.202000,1.994000,4,0.090000,0.130000
208,0.228000,1.446000,2,0.074000,0.130000
209,0.264000,2.056000,5,0.110000,0.160000
210,0.114000,1.520000,2,0.044000,0.070000
211,0.274000,1.500000,5,0.104000,0.175000
212,0.098000,1.576000,2,0.048000,0.070000
213,0.104000,0.942000,2,0.044000,0.065000
