episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
56,-5.534615,-0.000000,-0.107286,-0.028310,-0.171730,0.000000,0.153394,0.228000,2,18,11,2,0
57,-6.515717,-0.003817,-0.120541,-0.030462,-0.158785,0.000000,0.115964,0.186000,3,27,14,3,0
58,10.678906,-0.064516,-0.002384,-0.023136,-0.227824,0.000000,0.211887,0.254000,1,0,4,1,0
59,-6.626835,-0.058634,-0.056688,-0.031223,-0.311896,0.000000,0.181176,0.288000,3,14,12,3,0
60,-0.748807,-0.000000,-0.071604,-0.032139,-0.300604,0.000000,0.163055,0.252000,4,18,13,3,0
61,16.930756,-0.161812,-0.101967,-0.032466,-0.116986,0.000000,0.165667,0.202000,5,45,18,4,0
62,13.865864,-0.081512,-0.139337,-0.031974,-0.139310,-0.010831,0.228501,0.254000,4,34,20,4,0
63,9.220575,-0.080280,0.000000,-0.025684,-0.376663,0.000000,0.273779,0.370000,0,0,0,0,0
64,-11.432746,-0.055321,0.045983,-0.030968,-0.338808,0.000000,0.183724,0.302000,3,70,29,3,0
65,-9.239051,-0.078215,-0.038568,-0.031717,-0.188531,0.000000,0.176120,0.226000,5,61,33,5,1
66,5.674762,-0.039088,0.062266,-0.027063,-0.534716,0.000000,0.244084,0.330000,2,22,12,2,0
67,-0.503018,-0.054254,-0.029890,-0.026348,-0.496627,0.000000,0.221309,0.342000,1,6,4,1,0
68,-3.305087,-0.058567,-0.024570,-0.028510,-0.464119,0.000000,0.212089,0.316000,1,8,4,1,0
69,-25.180332,-0.094738,-0.050473,-0.023091,-0.461037,0.000000,0.179658,0.290000,2,11,8,2,0
70,-3.232499,-0.035574,-0.106858,-0.027483,-0.474432,0.000000,0.236228,0.314000,2,16,12,2,0
71,-22.938229,-0.113220,-0.262118,-0.029636,-0.192304,-0.009535,0.190388,0.296000,2,67,17,2,0
72,-23.413573,-0.156645,0.169319,-0.027198,-0.461080,0.000000,0.170132,0.284000,3,26,12,3,0
73,-6.154259,-0.077725,-0.046038,-0.025006,-0.456265,0.000000,0.183394,0.266000,3,48,18,3,0
74,-12.850251,-0.193887,0.003604,-0.024282,-0.603483,0.000000,0.241203,0.338000,1,0,0,0,0
75,-21.894978,-0.098918,-0.008092,-0.019222,-0.501179,0.000000,0.188589,0.256000,1,2,4,1,0
76,-15.711056,-0.091012,-0.092492,-0.023943,-0.425001,0.000000,0.207398,0.242000,2,13,10,2,0
77,-13.384120,-0.062951,0.000000,-0.020660,-0.495937,0.000000,0.239453,0.320000,0,0,0,0,0
78,-14.050957,-0.090757,0.000000,-0.020809,-0.515906,-0.007816,0.248250,0.392000,0,0,0,0,0
79,-18.779020,-0.099912,-0.069799,-0.023725,-0.518258,0.000000,0.206783,0.262000,2,14,9,2,0
80,-20.226815,-0.111696,-0.119584,-0.023775,-0.380576,0.000000,0.161180,0.242000,2,34,14,2,0
81,-31.033540,-0.006351,-0.098348,-0.021362,-0.628335,0.000000,0.208929,0.290000,1,5,5,1,0
82,-25.936025,-0.135621,0.033638,-0.022437,-0.529186,0.000000,0.179336,0.240000,2,8,8,2,0
83,-47.124908,-0.029806,-0.032028,-0.019557,-0.992461,0.000000,0.239039,0.306000,1,6,1,0,0
84,-38.154024,-0.043814,-0.006298,-0.024043,-0.767738,0.000000,0.134368,0.240000,2,14,8,2,0
85,-14.280328,-0.119550,-0.079214,-0.025013,-0.316369,0.000000,0.189800,0.238000,3,24,14,3,0
86,-16.777778,-0.055483,-0.027328,-0.026123,-0.353731,0.000000,0.178064,0.190000,4,18,16,4,0
87,-59.071324,-0.096692,-0.107943,-0.025957,-0.609011,0.000000,0.112840,0.152000,3,19,15,3,0
88,-29.426163,-0.013863,-0.177088,-0.032743,-0.352884,0.000000,0.135379,0.190000,4,31,18,4,0
89,-58.971808,-0.023106,-0.211954,-0.021947,-0.814615,0.000000,0.148429,0.238000,5,28,25,5,0
90,-42.444073,-0.099766,-0.290913,-0.024721,-0.499922,0.000000,0.173364,0.240000,5,55,28,5,0
91,-34.173188,-0.027844,-0.118466,-0.026388,-0.480043,0.000000,0.099033,0.138000,3,13,17,3,0
92,-23.485654,-0.074610,-0.017826,-0.028245,-0.358590,0.000000,0.115363,0.178000,5,26,23,5,0
93,-30.718862,-0.137011,0.096011,-0.024968,-0.545702,0.000000,0.187561,0.248000,5,46,20,4,0
94,-20.017562,-0.091123,-0.031987,-0.024059,-0.440438,0.000000,0.157104,0.230000,2,9,12,2,0
95,-38.624681,-0.090705,-0.037020,-0.017691,-0.585066,-0.007840,0.138703,0.218000,1,11,4,1,0
96,-3.794077,-0.074421,-0.076301,-0.031124,-0.396037,0.000000,0.240747,0.302000,1,1,5,1,0
97,-45.459415,-0.162692,0.092355,-0.020510,-0.538185,0.000000,0.123458,0.242000,3,12,13,3,0
98,-13.153232,-0.158510,-0.152998,-0.038517,-0.084844,0.000000,0.180908,0.246000,9,62,32,7,0
99,-45.701497,-0.146231,-0.144861,-0.021729,-0.485268,-0.014086,0.096345,0.158000,5,25,24,5,0
100,-28.191818,-0.074194,-0.188411,-0.025228,-0.341834,0.000000,0.156050,0.246000,5,31,26,5,0
101,-7.948214,-0.185336,0.009179,-0.026697,-0.334966,0.000000,0.171784,0.252000,5,36,19,4,0
102,-22.795916,-0.047536,-0.066612,-0.024906,-0.622520,0.000000,0.234159,0.274000,2,4,10,2,0
103,-16.312669,-0.016213,-0.039593,-0.026826,-0.495588,-0.007387,0.195352,0.246000,3,46,14,3,0
104,-6.802085,-0.068777,-0.012493,-0.027701,-0.203930,0.000000,0.158241,0.256000,1,9,4,1,0
105,-10.702942,-0.179144,-0.020594,-0.021496,-0.356869,0.000000,0.111126,0.272000,5,50,17,4,0
106,11.034290,-0.036157,-0.021794,-0.030579,-0.220575,0.000000,0.196251,0.300000,1,4,5,1,0
107,-8.414944,-0.292662,-0.050858,-0.032661,-0.268162,0.000000,0.208807,0.286000,5,20,12,3,0
108,-16.792389,0.000000,0.130113,-0.025680,-0.333943,0.000000,0.136425,0.236000,3,13,13,3,0
109,-55.317440,-0.000000,-0.043998,-0.023890,-0.665994,0.000000,0.132019,0.188000,3,14,13,3,0
110,-32.699925,-0.000000,-0.172144,-0.031243,-0.384271,0.000000,0.109598,0.236000,3,14,15,3,0
111,-25.655651,-0.227151,-0.052030,-0.030333,-0.353455,-0.000361,0.149003,0.244000,2,13,8,2,0
112,-23.305972,-0.081047,0.000000,-0.023310,-0.740787,0.000000,0.225410,0.296000,0,0,0,0,0
113,-39.705465,-0.043787,-0.055472,-0.024611,-0.717414,0.000000,0.133055,0.250000,2,14,8,2,0
114,-39.597478,-0.075188,0.004192,-0.019554,-0.695220,0.000000,0.124994,0.218000,3,36,17,3,0
115,-22.731346,-0.026386,-0.228780,-0.029313,-0.398625,0.000000,0.153162,0.242000,3,27,17,3,0
116,-46.087098,-0.097196,-0.091689,-0.020829,-0.517394,0.000000,0.072382,0.202000,4,55,28,4,0
117,-18.024779,-0.116076,-0.040774,-0.025713,-0.500550,0.000000,0.214107,0.262000,1,6,4,1,0
118,-41.918963,-0.056207,-0.249683,-0.023689,-0.627330,0.000000,0.156723,0.256000,2,29,9,2,0
119,-7.302310,-0.041697,-0.036911,-0.031351,-0.285253,0.000000,0.100139,0.202000,2,10,10,2,0
120,-72.111118,-0.056186,-0.385734,-0.022432,-0.616810,0.000000,0.128015,0.246000,5,47,26,5,0
121,-42.638622,-0.078589,-0.347175,-0.026169,-0.564443,0.000000,0.148390,0.256000,3,32,20,3,0
122,-18.760514,-0.038856,-0.123457,-0.031807,-0.343057,0.000000,0.179207,0.260000,3,19,13,3,0
123,0.304905,-0.193202,0.388133,-0.030332,-0.233263,0.000000,0.176101,0.252000,3,11,10,2,0
124,-15.889623,-0.058682,-0.104813,-0.030930,-0.287425,0.000000,0.148631,0.240000,4,18,18,4,0
125,-0.455712,-0.063262,-0.070900,-0.035008,-0.186981,0.000000,0.167457,0.284000,2,10,10,2,0
126,-48.804894,-0.036511,-0.185518,-0.024217,-0.446992,0.000000,0.145655,0.204000,4,23,20,4,0
127,-20.757291,-0.091751,-0.091255,-0.030935,-0.298434,-0.010294,0.169616,0.184000,2,18,9,2,0
128,-32.562326,-0.041392,-0.043190,-0.030044,-0.555950,0.000000,0.152724,0.270000,2,10,8,2,0
129,-39.419969,-0.147993,-0.152835,-0.022930,-0.623425,0.000000,0.201832,0.246000,4,20,17,4,0
130,-38.109229,-0.087543,-0.376814,-0.036973,-0.339730,0.000000,0.135804,0.246000,4,65,22,4,0
131,-29.519000,-0.098207,-0.287546,-0.028833,-0.394993,0.000000,0.252107,0.274000,2,41,11,2,0
132,-30.891879,-0.059987,0.086640,-0.032491,-0.269979,0.000000,0.124696,0.210000,6,38,24,5,0
133,-43.769075,-0.013401,-0.279689,-0.026643,-0.574298,0.000000,0.127900,0.230000,4,29,17,4,0
134,-54.725177,-0.010330,-0.242960,-0.026002,-0.519334,-0.006433,0.105980,0.164000,4,47,18,4,0
135,-29.310375,-0.039715,-0.024786,-0.030387,-0.621653,0.000000,0.178271,0.264000,1,6,4,1,0
136,-24.565518,-0.061796,-0.026114,-0.028308,-0.519022,0.000000,0.157760,0.140000,3,20,14,3,0
137,-55.509636,-0.021689,-0.006960,-0.024326,-1.087818,0.000000,0.186196,0.226000,2,11,8,2,0
138,-37.490301,-0.167448,0.484515,-0.029151,-0.591456,0.000000,0.141496,0.234000,4,18,9,2,0
139,-50.440417,-0.155296,-0.034123,-0.025532,-0.741856,0.000000,0.170413,0.246000,2,11,5,1,0
140,3.517303,-0.127965,0.000000,-0.023020,-0.574677,0.000000,0.243669,0.290000,0,0,0,0,0
141,-35.408242,-0.125159,-0.047026,-0.032376,-0.441388,0.000000,0.129905,0.148000,3,16,13,3,0
142,-31.019854,-0.161866,-0.066376,-0.030821,-0.509261,0.000000,0.143177,0.210000,2,17,9,2,0
143,-40.285524,0.000000,-0.019484,-0.024209,-0.645673,0.000000,0.175617,0.262000,2,8,5,1,0
144,-44.932775,-0.053075,0.082330,-0.028816,-0.546861,0.000000,0.155801,0.216000,4,34,18,3,0
145,-40.396947,-0.086598,-0.241374,-0.024723,-0.464275,0.000000,0.180965,0.250000,3,47,15,3,0
146,16.807242,-0.181786,0.002039,-0.033679,-0.150159,0.000000,0.235792,0.270000,4,32,22,4,0
147,-2.479056,-0.114773,0.037640,-0.032698,-0.350815,0.000000,0.218227,0.230000,2,6,8,2,0
148,-37.632030,-0.081433,-0.070687,-0.027151,-0.543328,0.000000,0.142299,0.200000,2,13,8,2,0
149,-35.621571,-0.062765,-0.156537,-0.023270,-0.531135,0.000000,0.191108,0.248000,3,39,14,3,0
150,-10.400567,-0.001091,0.072799,-0.028210,-0.537330,0.000000,0.163622,0.166000,6,57,26,5,0
151,-26.678424,-0.149481,0.300715,-0.033991,-0.380962,0.000000,0.097639,0.150000,5,33,17,4,0
152,4.268810,-0.087479,-0.260241,-0.032284,-0.225896,0.000000,0.236989,0.284000,2,32,16,2,0
153,-23.401479,-0.026567,-0.054952,-0.032851,-0.320429,0.000000,0.112397,0.124000,5,22,22,5,0
154,-59.241477,-0.145467,-0.022011,-0.023404,-0.664524,0.000000,0.124976,0.122000,4,31,20,4,0
155,3.953784,-0.037774,-0.042890,-0.033455,-0.247156,0.000000,0.215662,0.264000,3,11,13,3,0
156,-44.229292,-0.032817,-0.204937,-0.029284,-0.472329,0.000000,0.133096,0.196000,3,23,11,2,0
157,-14.414983,-0.127329,-0.045404,-0.033066,-0.333018,0.000000,0.157720,0.230000,2,13,8,2,0
158,-36.700947,-0.082790,0.030440,-0.027411,-0.502314,0.000000,0.105559,0.148000,4,47,21,4,0
159,3.132989,-0.122113,-0.007055,-0.036904,-0.222890,0.000000,0.198328,0.208000,3,13,12,3,0
160,-22.249046,-0.000000,-0.198315,-0.035951,-0.191376,0.000000,0.104634,0.204000,5,32,25,5,1
161,-17.932461,-0.074374,-0.252011,-0.029789,-0.334963,0.000000,0.207157,0.212000,5,64,26,5,0
162,-7.041014,-0.080974,-0.027874,-0.030661,-0.247143,0.000000,0.152520,0.232000,3,8,13,3,0
163,-34.340036,-0.134333,-0.222131,-0.027335,-0.342878,0.000000,0.150426,0.180000,3,22,13,3,0
164,-31.776768,-0.052532,-0.063531,-0.027974,-0.571082,0.000000,0.139653,0.244000,2,11,8,2,0
165,-32.762708,-0.019096,-0.147497,-0.030787,-0.364542,0.000000,0.138332,0.204000,6,33,22,4,0
166,-35.196218,-0.092033,-0.015806,-0.029482,-0.518008,-0.005381,0.152224,0.274000,2,10,9,2,0
167,0.756043,-0.054726,-0.092081,-0.038263,-0.162432,0.000000,0.153268,0.258000,3,23,14,3,0
168,6.635478,-0.034198,-0.048451,-0.035410,-0.162782,0.000000,0.169419,0.250000,2,11,8,2,0
169,-4.705539,-0.092321,-0.050232,-0.034117,-0.171397,0.000000,0.192151,0.216000,2,10,11,2,0
170,-38.727252,-0.056939,0.000000,-0.027051,-1.143407,0.000000,0.249124,0.454000,0,0,0,0,0
171,-17.153497,-0.157732,-0.071655,-0.022860,-0.312539,0.000000,0.122838,0.138000,3,29,13,3,0
172,15.536502,-0.095356,-0.024714,-0.034790,-0.098402,0.000000,0.185340,0.280000,2,14,10,2,0
173,-85.225132,-0.045148,-0.033932,-0.021920,-1.323099,0.000000,0.132840,0.318000,2,22,13,2,0
174,-3.567309,-0.062178,-0.106864,-0.034359,-0.094958,-0.004876,0.168586,0.210000,3,19,14,3,0
175,-13.326494,-0.071826,-0.082466,-0.033359,-0.135182,0.000000,0.080743,0.152000,3,19,14,3,0
176,-41.882988,-0.065924,-0.062621,-0.021865,-0.481193,0.000000,0.117803,0.252000,2,33,14,1,1
177,-36.297289,-0.177076,-0.253606,-0.032897,-0.221275,0.000000,0.148031,0.190000,6,30,28,6,0
178,-6.725323,-0.165927,-0.083933,-0.030367,-0.211797,0.000000,0.168283,0.232000,2,14,8,2,0
179,-23.456209,-0.095925,-0.107288,-0.031617,-0.185216,0.000000,0.094850,0.202000,2,10,8,2,0
180,-32.510073,-0.088125,-0.106272,-0.024960,-0.551342,0.000000,0.231021,0.252000,3,10,12,3,0
181,-16.683250,-0.087551,-0.080492,-0.033579,-0.192801,0.000000,0.096998,0.186000,2,14,9,2,0
182,-75.801489,-0.188741,0.101328,-0.027211,-1.132130,-0.005409,0.139483,0.362000,3,12,11,2,0
183,-76.650709,-0.084163,-0.085791,-0.027834,-1.197144,0.000000,0.105591,0.308000,2,6,9,2,0
184,7.750549,-0.152266,-0.062573,-0.033444,-0.184243,0.000000,0.197387,0.304000,2,7,4,1,0
185,-24.837784,-0.045586,-0.073087,-0.027102,-0.410388,-0.012905,0.120607,0.254000,2,38,10,2,0
186,-68.388263,-0.024037,-0.088185,-0.025279,-1.081665,0.000000,0.105939,0.248000,3,14,14,3,0
187,-128.599405,-0.077274,-0.242089,-0.017385,-1.513605,0.000000,0.107573,0.300000,3,26,14,3,0
188,-22.679471,-0.150465,-0.012536,-0.022141,-0.483440,0.000000,0.204714,0.278000,2,10,8,2,0
189,-39.732626,-0.135028,-0.018532,-0.020982,-0.618006,0.000000,0.191931,0.256000,2,16,8,2,0
190,-83.000286,-0.042805,-0.151880,-0.024724,-0.976311,0.000000,0.043219,0.212000,3,13,15,3,0
191,-45.422630,-0.227123,-0.099523,-0.026865,-0.261889,0.000000,0.131234,0.170000,3,13,14,2,0
192,-53.629884,-0.000000,-0.165632,-0.025671,-0.598130,0.000000,0.053425,0.186000,3,16,15,3,0
193,2.915276,-0.055568,-0.051673,-0.028323,-0.210549,0.000000,0.164449,0.246000,1,6,4,1,0
194,-53.399401,-0.083540,-0.153443,-0.030947,-0.611827,0.000000,0.148173,0.250000,3,17,14,3,0
195,-21.110585,-0.145619,-0.021007,-0.019122,-0.445388,0.000000,0.190378,0.250000,1,6,4,1,0
196,-50.386968,-0.086797,-0.059663,-0.017793,-0.701154,0.000000,0.142476,0.178000,2,13,10,2,0
197,-43.145644,-0.141978,-0.004332,-0.027676,-0.618534,0.000000,0.155645,0.252000,2,9,9,2,0
198,-59.328048,-0.097462,-0.195677,-0.025611,-0.367223,0.000000,0.091193,0.166000,4,39,20,4,0
199,1.654984,-0.069458,-0.075087,-0.035055,-0.150881,0.000000,0.210905,0.254000,1,7,4,1,0
200,-22.087706,-0.144953,-0.140134,-0.023338,-0.491065,0.000000,0.196506,0.242000,2,12,8,2,0
